date,open,high,low,close,volume
2003-01-01,98.43,100.29,98.43,100.29,374425
2003-01-02,101.32,103.43,101.32,103.13,55487
2003-01-03,102.35,102.38,101.98,102.38,50810
2003-01-06,101.43,101.43,100.32,100.32,620829
2003-01-07,102.24,103.72,102.24,103.72,183006
2003-01-08,103.46,103.46,101.93,103.31,4432333
2003-01-09,103.16,103.22,101.69,101.69,23346736
2003-01-10,102.31,102.31,99.93,99.93,5483003
2003-01-13,100.40,100.40,96.92,96.92,1308076
2003-01-14,95.97,97.31,95.84,97.29,3873647
2003-01-15,96.04,98.89,96.04,98.89,3701363
2003-01-16,98.94,99.24,98.15,99.24,4053835
2003-01-17,100.57,102.76,100.57,102.62,106365
2003-01-20,103.69,103.96,102.69,102.69,188777
2003-01-21,102.07,104.79,102.07,103.73,48994
2003-01-22,103.25,105.02,103.25,103.55,950973
2003-01-23,103.76,106.96,103.76,105.66,446463
2003-01-24,103.79,106.21,103.79,105.87,395838
2003-01-27,105.72,108.24,105.72,108.18,1665249
2003-01-28,106.09,107.07,104.98,104.98,30457
2003-01-29,103.58,106.00,103.58,106.00,114640
2003-01-30,106.04,106.63,105.70,106.63,304232
2003-01-31,106.98,106.98,104.56,104.56,441007
2003-02-03,103.16,103.19,102.51,102.51,351082
2003-02-04,102.91,102.91,101.42,102.14,683189
2003-02-05,102.43,102.43,99.72,99.72,55306
2003-02-06,100.43,102.36,100.43,100.82,1791094
2003-02-07,101.80,102.01,100.44,102.01,423793
2003-02-10,100.52,102.37,99.85,102.28,5753396
2003-02-11,100.57,100.66,100.26,100.66,745611
2003-02-12,100.11,101.27,99.65,99.73,99096
2003-02-13,99.18,99.18,95.67,96.01,32389
2003-02-14,95.30,95.30,93.81,93.81,987994
2003-02-17,92.99,93.68,91.87,93.68,127937
2003-02-18,93.05,93.05,91.49,91.49,305872
2003-02-19,90.45,92.39,90.45,92.08,356163
2003-02-20,92.97,92.97,91.83,91.83,429220
2003-02-21,92.01,92.01,90.25,91.34,6850
2003-02-24,93.34,95.08,93.34,95.08,191514
2003-02-25,94.11,94.11,92.86,93.31,611206
2003-02-26,93.55,94.45,93.55,94.45,700514
2003-02-27,95.22,95.37,94.30,94.66,3370588
2003-02-28,94.49,95.44,94.49,94.95,72681
2003-03-03,96.55,97.90,96.41,96.41,822700
2003-03-04,96.90,96.90,95.49,96.34,2227540
2003-03-05,96.99,96.99,95.02,95.02,31250
2003-03-06,93.44,93.45,92.81,93.17,10582848
2003-03-07,92.98,92.98,91.25,92.25,89562
2003-03-10,92.27,94.59,92.27,94.59,1386913
2003-03-11,94.46,94.46,93.35,93.79,150785
2003-03-12,93.49,95.39,93.45,95.39,75688
2003-03-13,95.12,96.93,95.12,96.93,350700
2003-03-14,97.42,99.13,97.08,97.08,2838680
2003-03-17,97.09,97.09,96.04,96.36,303928
2003-03-18,96.14,96.43,94.69,94.69,533176
2003-03-19,94.19,94.37,91.75,91.75,71790
2003-03-20,91.71,94.14,91.71,94.14,236742
2003-03-21,94.04,94.04,92.52,93.78,596423
2003-03-24,95.02,95.02,93.79,94.10,78789
2003-03-25,93.44,95.06,93.44,94.89,9584241
2003-03-26,95.30,95.66,93.83,93.83,1223137
2003-03-27,93.87,94.14,92.38,92.38,814135
2003-03-28,91.53,91.61,90.60,90.60,243578
2003-03-31,91.14,91.93,90.88,91.25,2095634
2003-04-01,91.05,91.05,88.94,88.94,146586
2003-04-02,87.30,87.30,86.23,86.80,760130
2003-04-03,87.41,88.26,87.41,88.20,2307396
2003-04-04,87.55,89.94,87.55,89.94,396715
2003-04-07,88.05,88.25,87.02,87.86,355058
2003-04-08,87.38,87.38,84.59,84.59,584103
2003-04-09,84.79,85.25,83.93,85.25,31223
2003-04-10,85.31,87.54,85.31,86.74,196780
2003-04-11,86.09,87.46,86.09,86.25,338185
2003-04-14,85.59,85.59,82.66,82.66,5133554
2003-04-15,81.66,82.60,81.63,81.63,788115
2003-04-16,82.46,83.28,81.43,83.28,429749
2003-04-17,82.11,84.85,82.11,84.85,337098
2003-04-18,84.68,86.07,84.68,86.07,2477454
2003-04-21,85.45,85.69,84.52,85.69,233965
2003-04-22,84.75,84.75,83.42,83.57,48616
2003-04-23,83.65,85.32,83.65,85.32,1024334
2003-04-24,85.96,85.96,84.44,84.87,192814
2003-04-25,83.68,83.68,81.70,81.70,211999
2003-04-28,80.01,80.01,79.74,79.79,475026
2003-04-29,79.00,79.00,77.19,77.25,22176466
2003-04-30,77.86,77.87,76.02,76.02,7226834
2003-05-01,77.77,77.77,76.82,76.82,709639
2003-05-02,76.85,76.85,74.90,74.90,830870
2003-05-05,74.77,76.41,74.77,76.41,1310626
2003-05-06,77.02,79.32,77.02,79.32,874892
2003-05-07,79.95,81.38,79.95,81.38,211028
2003-05-08,80.80,80.80,78.28,78.28,1013335
2003-05-09,77.50,77.89,76.69,77.03,4788
2003-05-12,76.34,76.34,75.43,75.53,1779327
2003-05-13,75.46,76.68,75.46,75.92,2715113
2003-05-14,75.50,75.50,74.17,74.17,7494486
2003-05-15,74.44,76.05,74.44,76.05,3557681
2003-05-16,76.32,77.13,76.08,77.13,433751
2003-05-19,78.36,78.36,77.71,78.04,403099
2003-05-20,77.15,78.02,76.69,78.02,846021
2003-05-21,78.60,80.11,78.60,79.93,6794964
2003-05-22,80.06,80.31,78.68,78.68,1119466
2003-05-23,79.12,80.84,79.12,79.68,339914
2003-05-26,78.85,78.85,76.26,76.26,7444137
2003-05-27,76.32,76.45,75.31,76.45,148914
2003-05-28,77.04,78.00,77.04,78.00,1053742
2003-05-29,78.20,78.20,77.02,77.02,266619
2003-05-30,77.11,77.11,73.43,73.43,209870
2003-06-02,72.89,75.12,72.89,75.12,133390
2003-06-03,75.39,75.55,74.40,74.40,1511214
2003-06-04,74.98,75.16,74.10,74.10,1388416
2003-06-05,74.69,75.81,74.68,75.81,1324964
2003-06-06,75.81,76.57,75.81,76.19,689726
2003-06-09,76.49,78.49,76.49,78.41,1283559
2003-06-10,78.08,80.64,78.08,80.64,5107398
2003-06-11,80.86,82.67,80.86,82.67,2237827
2003-06-12,81.81,83.05,81.81,83.05,236912
2003-06-13,83.18,83.18,81.31,81.95,168625
2003-06-16,81.74,83.05,81.74,83.05,1521609
2003-06-17,81.24,82.53,81.24,82.53,83226
2003-06-18,83.10,83.17,82.64,82.64,318132
2003-06-19,81.40,83.13,81.36,82.41,6606925
2003-06-20,82.71,82.71,81.98,82.36,408057
2003-06-23,82.86,84.00,82.86,84.00,464505
2003-06-24,85.08,86.21,85.08,86.13,524717
2003-06-25,85.74,85.74,83.87,84.23,4441610
2003-06-26,85.26,85.54,84.56,84.56,353335
2003-06-27,84.77,85.15,84.72,84.72,402201
2003-06-30,85.30,85.30,83.94,83.94,490843
2003-07-01,84.39,84.39,84.32,84.33,138426
2003-07-02,83.55,85.39,82.97,85.39,254699
2003-07-03,84.24,84.36,83.26,83.26,47092
2003-07-04,82.69,87.58,82.65,87.58,394303
2003-07-07,88.78,88.78,87.41,87.41,846960
2003-07-08,89.37,91.97,89.37,91.83,3544893
2003-07-09,91.47,93.09,91.47,92.13,3975261
2003-07-10,91.38,92.88,91.38,92.88,5743233
2003-07-11,93.25,94.35,93.25,94.20,211507
2003-07-14,94.93,94.93,93.88,94.51,2646749
2003-07-15,94.86,99.03,94.86,99.03,7542466
