date,open,high,low,close,volume
2003-01-01,98.51,98.51,97.40,98.28,5225100
2003-01-02,100.03,100.84,98.57,100.84,223263
2003-01-03,101.67,101.80,101.07,101.07,1702906
2003-01-06,100.95,101.47,100.95,101.47,287859
2003-01-07,100.32,103.92,100.32,103.92,130693
2003-01-08,103.56,104.84,103.56,104.21,4521708
2003-01-09,103.07,103.07,101.78,101.78,15166429
2003-01-10,103.76,105.20,103.76,104.76,183412
2003-01-13,104.09,104.09,103.26,103.72,1529874
2003-01-14,104.06,105.76,104.06,105.76,916169
2003-01-15,106.65,107.19,106.34,107.19,10589865
2003-01-16,108.42,109.08,108.42,109.08,25798
2003-01-17,106.85,107.62,106.77,107.62,343144
2003-01-20,108.83,108.96,108.16,108.16,1023882
2003-01-21,108.38,111.31,108.22,111.31,307627
2003-01-22,110.90,110.90,106.87,108.66,687161
2003-01-23,110.84,112.92,110.84,112.92,6539061
2003-01-24,111.76,115.21,111.76,115.21,5862025
2003-01-27,115.80,116.32,114.83,116.32,378927
2003-01-28,116.10,118.46,115.74,115.74,216521
2003-01-29,116.46,116.49,114.05,114.05,670829
2003-01-30,113.54,115.36,113.10,115.36,692929
2003-01-31,115.23,115.23,114.22,115.15,53166
2003-02-03,115.09,118.67,115.09,118.67,794070
2003-02-04,119.61,121.23,119.61,120.84,3393433
2003-02-05,120.56,120.56,119.67,119.67,111131
2003-02-06,120.15,120.15,117.58,118.00,1200586
2003-02-07,117.59,117.97,116.91,117.50,201231
2003-02-10,117.28,117.99,116.55,117.50,315747
2003-02-11,117.04,117.88,117.04,117.88,1000712
2003-02-12,119.08,119.36,116.37,116.37,806570
2003-02-13,116.20,117.55,115.71,115.71,7614723
2003-02-14,115.08,118.73,115.08,118.73,459399
2003-02-17,120.08,120.08,117.10,117.10,292411
2003-02-18,118.27,118.71,117.95,117.95,250856
2003-02-19,116.63,119.75,115.60,119.75,43184
2003-02-20,118.38,118.61,116.16,116.16,6598158
2003-02-21,115.21,115.21,113.46,114.45,2308358
2003-02-24,114.40,115.48,114.23,115.20,700155
2003-02-25,113.30,116.60,113.30,113.99,209698
2003-02-26,114.14,114.14,113.00,113.41,3205658
2003-02-27,114.12,114.12,111.62,111.62,419227
2003-02-28,110.36,113.04,110.36,113.04,18024
2003-03-03,115.14,115.57,113.40,113.40,335380
2003-03-04,114.16,115.60,114.16,114.95,207356
2003-03-05,115.99,118.79,115.99,118.79,36270
2003-03-06,119.45,120.78,119.45,120.49,354756
2003-03-07,119.16,119.98,118.76,119.98,284655
2003-03-10,119.83,119.83,118.65,118.65,3321448
2003-03-11,116.09,116.82,115.63,116.82,386672
2003-03-12,115.70,115.70,113.10,113.10,12015763
2003-03-13,114.57,114.57,111.78,111.78,1012746
2003-03-14,112.62,113.61,112.62,112.65,2295229
2003-03-17,111.44,113.22,111.44,112.99,306031
2003-03-18,113.29,115.48,113.29,114.34,2811168
2003-03-19,114.52,117.27,114.50,117.27,571453
2003-03-20,117.49,117.86,117.49,117.62,434180
2003-03-21,117.41,117.98,116.99,117.98,819483
2003-03-24,117.38,118.53,117.38,117.40,290863
2003-03-25,117.07,117.07,115.15,116.48,9886272
2003-03-26,115.05,115.05,109.87,109.87,2217906
2003-03-27,109.96,111.05,108.27,108.27,144531
2003-03-28,108.55,109.27,107.74,108.55,1520556
2003-03-31,106.39,106.39,103.70,103.70,251255
2003-04-01,102.72,103.68,102.49,103.68,239780
2003-04-02,103.96,105.14,103.96,105.14,3293
2003-04-03,105.88,105.88,103.43,103.43,114913
2003-04-04,103.62,106.87,103.62,106.87,4507027
2003-04-07,107.71,107.71,104.04,104.04,1094872
2003-04-08,103.54,104.19,102.82,103.89,178188
2003-04-09,105.55,105.86,103.71,103.71,4663426
2003-04-10,104.48,104.48,103.26,103.38,1315681
2003-04-11,103.78,104.35,103.17,103.17,2514280
2003-04-14,104.22,104.22,103.60,103.77,26453
2003-04-15,104.00,104.00,101.63,101.80,26344
2003-04-16,103.34,103.94,102.33,102.33,311779
2003-04-17,102.12,105.03,102.12,105.03,30428
2003-04-18,105.13,105.13,102.81,102.92,400856
2003-04-21,103.39,103.57,102.81,102.81,195767
2003-04-22,103.35,106.86,103.35,105.95,170047
2003-04-23,106.61,107.29,105.07,107.29,853452
2003-04-24,107.94,108.73,107.84,108.73,82088
2003-04-25,110.46,110.55,107.02,107.02,419888
2003-04-28,107.80,107.80,105.50,107.61,1484659
2003-04-29,107.15,108.15,107.15,108.15,150547
2003-04-30,106.86,106.86,105.16,105.16,8078929
2003-05-01,104.77,106.42,104.77,106.42,1897704
2003-05-02,107.40,108.38,107.40,107.73,5632674
2003-05-05,107.86,111.74,107.86,111.74,5394033
2003-05-06,110.06,110.99,110.06,110.10,229231
2003-05-07,109.34,111.06,109.34,111.06,106838
2003-05-08,110.20,110.20,108.32,108.32,1866437
2003-05-09,108.27,110.56,108.27,110.56,732964
2003-05-12,111.26,112.24,111.26,111.44,182690
2003-05-13,110.70,112.24,110.70,112.24,278190
2003-05-14,110.98,111.61,110.17,110.17,2532221
2003-05-15,109.33,109.73,108.42,109.73,124734
2003-05-16,108.53,108.66,107.25,108.66,159505
2003-05-19,108.21,108.81,107.98,107.98,196959
2003-05-20,108.51,110.05,108.16,110.05,2533004
2003-05-21,107.73,112.89,107.73,112.89,3502566
2003-05-22,113.26,113.26,110.59,110.59,208242
2003-05-23,110.79,110.79,107.49,107.49,299439
2003-05-26,107.92,107.92,105.35,105.35,36371
2003-05-27,105.14,106.16,104.82,106.16,777357
2003-05-28,104.85,104.85,101.59,101.59,32296027
2003-05-29,100.92,102.32,100.82,100.82,332433
2003-05-30,101.19,101.19,98.60,98.60,228060
2003-06-02,99.97,102.74,99.97,102.74,3360247
2003-06-03,103.64,103.64,101.75,101.75,346597
2003-06-04,100.20,103.92,100.20,103.92,2108244
2003-06-05,104.92,105.33,104.07,104.28,22665811
2003-06-06,104.44,105.04,103.27,105.04,156047
2003-06-09,106.89,107.46,106.15,107.46,47526
2003-06-10,108.00,109.34,108.00,109.08,4418831
2003-06-11,110.02,110.18,109.48,109.48,401898
2003-06-12,109.01,109.01,107.40,107.40,47930
2003-06-13,107.01,110.10,106.96,110.10,556935
2003-06-16,111.99,111.99,110.62,110.62,1319632
2003-06-17,110.97,112.02,110.46,110.46,880638
2003-06-18,109.10,110.99,109.10,110.99,140067
2003-06-19,109.51,112.24,109.51,112.24,1039586
2003-06-20,111.90,113.13,111.90,112.16,1039750
2003-06-23,112.01,112.55,111.19,111.70,835770
2003-06-24,111.80,111.80,110.79,111.77,675992
2003-06-25,111.81,115.10,111.81,115.10,176000
2003-06-26,113.57,114.40,112.82,113.03,442377
2003-06-27,114.03,115.58,114.03,115.46,1560005
2003-06-30,113.60,113.60,110.21,110.21,1230554
2003-07-01,111.72,111.72,109.42,109.42,1921139
2003-07-02,110.74,112.14,110.11,112.14,65817
2003-07-03,113.63,113.63,110.25,110.25,3032693
2003-07-04,109.36,109.68,107.99,107.99,913414
2003-07-07,107.29,107.29,105.68,107.17,516153
2003-07-08,108.32,109.10,107.03,107.03,1501959
2003-07-09,107.47,108.49,107.34,107.34,2267354
2003-07-10,107.60,107.60,106.16,106.16,93100
2003-07-11,105.75,105.75,103.03,103.03,617710
2003-07-14,102.50,104.22,102.50,104.13,3593598
2003-07-15,104.91,106.41,104.91,105.72,360175
2003-07-16,104.97,106.86,104.97,105.21,1953996
2003-07-17,106.55,109.43,106.55,108.28,3149757
2003-07-18,108.38,110.97,108.38,110.97,209456
2003-07-21,110.46,112.42,110.46,111.84,2195537
2003-07-22,113.31,114.66,113.31,114.28,1174267
2003-07-23,114.87,115.92,114.87,115.18,226309
2003-07-24,114.72,114.72,112.18,112.18,266615
2003-07-25,112.10,113.45,112.10,113.45,5246012
2003-07-28,114.55,116.48,113.78,116.48,764149
2003-07-29,115.20,115.20,112.37,112.37,24715
2003-07-30,111.84,111.84,110.56,110.72,487460
2003-07-31,111.86,112.98,111.17,111.17,540207
2003-08-01,112.68,112.68,108.90,108.90,2875141
2003-08-04,110.08,111.84,110.08,111.84,144331
2003-08-05,112.51,113.89,112.00,112.00,623269
2003-08-06,111.52,113.97,111.52,112.54,440083
2003-08-07,113.18,113.31,111.59,111.59,529933
2003-08-08,112.22,112.22,110.33,111.11,265672
2003-08-11,111.23,112.36,110.97,110.97,784287
2003-08-12,111.95,112.11,111.49,111.49,1211927
2003-08-13,110.58,111.56,110.58,111.44,5168961
2003-08-14,111.44,111.44,110.30,110.90,129882
2003-08-15,110.43,110.43,107.46,108.91,663016
2003-08-18,107.88,108.34,106.40,106.40,504651
2003-08-19,103.55,104.58,102.90,104.58,402742
2003-08-20,106.41,107.48,104.60,104.60,245948
2003-08-21,106.46,106.46,105.09,106.40,1014574
2003-08-22,106.10,106.78,105.64,106.78,862281
2003-08-25,106.70,107.09,106.32,106.32,9684156
2003-08-26,106.98,106.98,105.81,105.81,25795
2003-08-27,106.59,106.59,104.49,104.49,55846
2003-08-28,103.66,103.66,100.26,100.26,1323
2003-08-29,99.07,99.07,97.54,98.38,56224
2003-09-01,99.56,100.81,98.82,98.82,4936127
2003-09-02,98.30,98.30,97.70,97.70,16124964
2003-09-03,98.36,99.53,98.36,99.53,540592
2003-09-04,100.89,104.80,100.89,104.80,249218
2003-09-05,105.70,106.80,105.18,106.80,1257180
2003-09-08,107.26,107.47,106.05,107.47,554019
2003-09-09,106.90,107.53,106.22,106.22,188679
2003-09-10,105.68,105.68,104.87,104.87,835449
2003-09-11,105.42,105.79,104.57,105.79,824971
2003-09-12,106.97,106.97,104.21,104.21,10775
2003-09-15,105.64,109.27,105.64,109.27,538481
2003-09-16,111.32,111.73,110.00,110.00,4358855
2003-09-17,108.26,109.13,107.96,109.13,391329
2003-09-18,108.31,108.62,106.89,106.89,1478508
2003-09-19,105.73,106.39,105.73,106.39,983655
2003-09-22,105.92,108.83,105.92,108.12,440938
2003-09-23,106.78,109.97,106.78,108.36,770563
2003-09-24,108.04,108.04,105.64,106.81,445655
2003-09-25,107.88,107.88,105.80,105.80,388665
2003-09-26,105.94,106.81,104.75,104.75,747735
