date,open,high,low,close,volume
2003-01-01,98.00,98.00,96.82,96.82,8383111
2003-01-02,97.37,97.45,95.74,96.51,380679
2003-01-03,95.34,96.58,95.26,95.26,150172
2003-01-06,95.49,95.49,93.64,93.64,3400
2003-01-07,92.31,93.01,91.77,92.11,56587
2003-01-08,93.35,95.86,93.35,93.43,43452
2003-01-09,92.61,94.14,92.22,94.14,1216850
2003-01-10,94.21,96.87,94.21,96.87,607175
2003-01-13,96.00,96.35,96.00,96.35,239392
2003-01-14,95.80,95.98,95.34,95.98,378534
2003-01-15,95.87,96.52,95.34,96.30,1137613
2003-01-16,96.44,99.55,96.44,99.55,1670570
2003-01-17,99.34,101.16,99.34,101.16,21303346
2003-01-20,102.57,102.57,101.26,101.76,282636
2003-01-21,101.96,102.82,101.96,102.82,226154
2003-01-22,102.47,105.48,102.47,105.48,625890
2003-01-23,106.43,106.63,106.23,106.63,48463
2003-01-24,107.08,108.65,107.08,108.65,541626
2003-01-27,109.23,110.20,108.93,108.93,317676
2003-01-28,109.14,112.62,109.14,111.04,1246814
2003-01-29,110.88,114.37,110.88,114.37,786045
2003-01-30,112.85,115.15,112.29,115.15,606731
2003-01-31,115.29,115.29,113.51,114.27,212346
2003-02-03,112.10,112.10,109.90,110.98,604477
2003-02-04,109.83,109.83,106.50,106.50,1120863
2003-02-05,107.37,107.52,107.20,107.32,137438
2003-02-06,106.97,109.35,106.97,109.35,1670897
2003-02-07,110.76,111.17,109.94,110.88,9962
2003-02-10,112.06,112.26,111.41,111.41,71474
2003-02-11,111.62,112.67,111.62,112.67,555007
2003-02-12,114.19,116.11,114.19,115.98,462254
2003-02-13,112.47,113.60,112.47,112.96,55152
2003-02-14,114.91,114.91,113.17,113.32,69232
2003-02-17,112.38,114.27,112.13,114.27,1005399
2003-02-18,112.58,114.94,112.58,114.94,406915
2003-02-19,116.84,117.52,114.49,117.52,351965
2003-02-20,116.25,120.17,116.25,120.17,242702
2003-02-21,120.33,121.15,119.65,121.15,4382404
2003-02-24,120.20,121.10,119.37,119.37,579896
2003-02-25,121.19,123.77,121.19,123.77,266676
2003-02-26,123.81,128.72,123.81,128.72,1765740
2003-02-27,127.20,128.93,127.20,127.23,3456186
2003-02-28,124.83,125.58,123.64,123.71,97085
2003-03-03,123.95,123.95,121.55,122.18,1911358
2003-03-04,119.46,121.63,119.46,121.63,332493
2003-03-05,121.31,121.96,119.94,119.94,3066292
2003-03-06,120.49,120.49,118.87,120.01,724599
