date,open,high,low,close,volume
2003-01-01,99.75,100.10,99.23,99.23,887492
2003-01-02,99.77,99.77,98.66,99.41,2043968
2003-01-03,98.27,98.27,95.99,95.99,1856420
2003-01-06,95.30,95.38,94.36,95.38,247652
2003-01-07,94.84,98.20,94.84,98.20,6606
2003-01-08,96.50,96.50,93.63,93.63,13329412
2003-01-09,94.70,94.70,92.94,92.94,467560
2003-01-10,93.93,93.93,92.72,93.82,180070
2003-01-13,93.26,95.01,93.26,94.21,2024832
2003-01-14,93.71,93.71,90.34,90.34,29860413
2003-01-15,90.45,90.55,89.58,89.58,621006
2003-01-16,90.38,92.58,90.38,92.58,133602
2003-01-17,91.73,91.73,90.49,90.49,13323
2003-01-20,90.63,91.72,90.63,91.72,1112858
2003-01-21,91.09,91.09,88.00,88.00,472048
2003-01-22,89.52,89.52,87.49,87.49,512463
2003-01-23,86.48,87.23,86.07,86.46,522450
2003-01-24,87.18,89.16,87.18,89.16,268732
2003-01-27,89.59,90.95,89.59,90.95,118974
2003-01-28,90.67,90.67,87.27,87.27,4531911
2003-01-29,88.31,90.43,88.31,89.91,227999
2003-01-30,88.78,89.90,87.81,87.81,245023
2003-01-31,87.41,88.53,86.59,88.53,77616
2003-02-03,88.07,89.33,88.07,89.33,735778
2003-02-04,89.97,89.97,88.12,88.12,9012203
2003-02-05,86.78,87.32,86.35,86.35,2517625
2003-02-06,85.52,86.07,85.32,86.07,1221045
2003-02-07,86.68,87.84,86.68,87.22,152861
2003-02-10,87.48,87.48,86.40,86.40,12275
2003-02-11,86.18,86.18,83.73,83.73,399249
2003-02-12,83.44,84.74,83.44,83.54,436624
2003-02-13,84.15,84.63,84.15,84.36,770472
2003-02-14,86.27,88.47,86.27,88.47,812137
2003-02-17,87.73,89.31,87.73,89.31,296742
2003-02-18,89.16,89.16,88.50,88.92,12995830
2003-02-19,90.17,90.17,88.62,88.62,59646
2003-02-20,89.22,91.27,89.22,91.27,8974
2003-02-21,91.25,91.25,90.25,90.49,9453187
2003-02-24,91.03,91.03,90.46,90.61,284753
2003-02-25,91.19,91.19,91.09,91.11,936287
2003-02-26,90.32,90.51,89.75,90.51,705148
2003-02-27,90.30,90.30,88.96,88.96,2122627
2003-02-28,88.04,91.61,88.04,91.61,6232
2003-03-03,91.54,92.60,91.54,92.23,71266
2003-03-04,93.54,94.62,93.54,94.62,66311
2003-03-05,93.53,94.93,93.53,94.93,51227
