date,open,high,low,close,volume
2003-01-01,99.49,101.55,99.43,99.43,324287
2003-01-02,100.84,102.22,100.60,101.19,492067
2003-01-03,101.90,102.06,101.59,101.59,24018455
2003-01-06,100.53,102.30,100.53,100.64,470
2003-01-07,99.71,99.71,99.32,99.32,812738
2003-01-08,98.33,98.43,97.27,97.73,163112
2003-01-09,97.94,98.35,96.48,98.35,19397
2003-01-10,97.38,98.37,97.34,98.37,97097
2003-01-13,98.20,98.20,95.54,95.54,169045
2003-01-14,95.37,96.57,95.37,96.23,233397
2003-01-15,94.53,94.93,94.14,94.44,106719
2003-01-16,94.29,97.07,94.29,97.07,1515388
2003-01-17,96.47,96.47,94.27,94.27,2111353
2003-01-20,93.55,95.40,93.55,95.40,119236
2003-01-21,97.87,98.49,97.87,98.01,408021
2003-01-22,98.35,100.89,98.35,98.99,68178
2003-01-23,98.01,98.96,98.01,98.40,1883118
2003-01-24,97.62,97.62,96.75,96.75,866424
2003-01-27,97.38,97.38,95.34,96.61,274665
2003-01-28,97.58,101.22,97.58,101.22,66944
2003-01-29,100.66,100.66,98.20,98.20,639148
2003-01-30,97.81,98.99,97.81,98.99,2312065
2003-01-31,99.24,100.75,99.24,100.75,153685
2003-02-03,100.70,101.00,99.72,101.00,1474661
2003-02-04,101.78,103.18,101.78,102.45,428549
2003-02-05,102.93,102.93,100.70,101.90,22198
2003-02-06,102.95,102.95,101.91,101.91,1263235
2003-02-07,100.79,101.56,99.88,101.56,301678
2003-02-10,102.27,102.90,100.68,100.68,915610
2003-02-11,99.04,99.32,98.24,98.49,210516
2003-02-12,98.01,98.01,96.65,96.65,260603
2003-02-13,96.75,97.37,96.54,97.37,1835585
2003-02-14,97.79,98.69,97.74,98.69,815188
2003-02-17,97.93,99.94,97.93,99.44,45992
2003-02-18,99.62,102.36,99.62,102.36,384974
2003-02-19,103.37,103.54,102.30,102.30,626037
2003-02-20,100.13,100.97,98.98,98.98,608920
2003-02-21,98.33,98.43,98.11,98.36,7046306
2003-02-24,98.19,100.01,98.19,98.73,162610
2003-02-25,99.95,101.35,99.76,101.35,1165072
2003-02-26,101.25,102.67,101.21,102.67,580037
2003-02-27,104.03,104.51,103.15,104.51,6963043
2003-02-28,104.04,106.70,104.04,106.70,42550
2003-03-03,106.31,106.31,104.33,105.18,308803
2003-03-04,106.75,106.96,105.63,105.63,193275
2003-03-05,103.65,103.65,100.04,100.04,4063864
2003-03-06,100.89,102.12,100.89,102.12,408358
2003-03-07,102.50,103.60,102.50,103.60,547674
2003-03-10,104.03,104.70,104.03,104.45,9322533
2003-03-11,103.10,103.90,102.23,102.23,189191
2003-03-12,101.07,101.07,98.93,98.93,5533560
2003-03-13,97.55,98.50,97.45,98.50,261148
2003-03-14,97.63,99.02,97.63,98.36,602670
2003-03-17,99.46,100.26,98.26,100.26,1933329
2003-03-18,99.43,100.14,98.40,99.66,40586772
2003-03-19,100.87,101.49,99.60,99.60,897783
2003-03-20,99.50,100.37,98.97,99.71,2623231
2003-03-21,100.11,101.87,99.51,101.87,996743
2003-03-24,101.88,106.48,101.88,105.66,1099861
2003-03-25,104.17,107.45,104.17,107.45,1276142
2003-03-26,107.68,109.11,107.68,108.59,1318427
2003-03-27,109.09,109.09,107.10,107.10,9145813
2003-03-28,107.15,107.15,104.49,104.85,1166691
2003-03-31,105.51,108.43,105.51,108.43,1347
2003-04-01,108.79,108.79,103.97,103.97,1147683
2003-04-02,104.27,104.74,103.23,103.23,491150
2003-04-03,102.12,102.12,100.23,100.23,120461
2003-04-04,99.28,100.20,99.28,100.20,1107835
2003-04-07,98.98,100.37,98.98,99.97,173966
2003-04-08,99.36,100.71,98.87,98.87,1154272
2003-04-09,98.48,98.48,95.87,95.87,33594
2003-04-10,96.52,96.52,95.20,95.20,107680
