date,open,high,low,close,volume
2003-01-01,101.28,101.59,100.47,100.47,7850434
2003-01-02,98.76,99.72,98.76,99.24,884552
2003-01-03,97.55,97.73,97.51,97.73,226339
2003-01-06,97.25,97.68,96.57,96.57,821688
2003-01-07,95.95,96.95,95.95,96.83,1576041
2003-01-08,96.16,96.16,94.38,94.38,4710952
2003-01-09,94.94,95.30,94.75,95.30,111231
2003-01-10,96.55,96.55,93.59,93.59,560128
2003-01-13,93.41,95.17,93.41,95.09,2752896
2003-01-14,95.69,97.37,95.69,97.37,732644
2003-01-15,97.05,98.07,96.35,98.07,968424
2003-01-16,97.83,99.29,97.83,98.33,1102159
2003-01-17,98.11,98.11,96.92,97.14,150470
2003-01-20,96.43,96.43,95.13,96.43,80214
2003-01-21,95.26,97.09,95.26,97.09,396636
2003-01-22,99.08,100.09,98.01,98.27,633426
2003-01-23,99.10,99.10,96.36,96.36,284457
2003-01-24,96.37,97.84,95.96,96.75,1374338
2003-01-27,95.67,95.68,94.09,94.96,402196
2003-01-28,95.67,99.71,95.67,99.71,1370072
2003-01-29,98.99,101.34,98.99,101.34,10682333
2003-01-30,102.19,103.75,102.19,103.75,527734
2003-01-31,104.25,106.06,104.25,106.06,204139
2003-02-03,106.70,108.75,106.70,107.28,6031699
2003-02-04,107.65,108.81,107.55,107.55,468966
2003-02-05,108.26,110.11,108.26,108.94,15612
2003-02-06,109.18,109.18,105.85,105.85,847716
2003-02-07,106.63,109.63,106.63,107.85,240282
2003-02-10,108.70,109.76,108.70,109.76,596493
2003-02-11,112.08,112.70,110.69,112.70,17750481
2003-02-12,112.35,114.70,111.42,111.42,12253
2003-02-13,111.68,112.09,111.14,111.14,285524
2003-02-14,110.77,110.77,109.59,110.23,728255
2003-02-17,109.53,109.53,108.51,108.73,863628
2003-02-18,106.31,106.31,104.07,104.07,901931
2003-02-19,105.20,105.20,103.30,103.30,3168237
2003-02-20,102.57,102.57,100.95,100.95,270101
2003-02-21,102.57,102.98,102.49,102.49,219543
2003-02-24,103.30,103.30,102.84,102.85,8372888
2003-02-25,103.09,103.51,102.47,102.47,640017
2003-02-26,103.07,104.83,102.07,102.07,2522142
2003-02-27,103.44,106.87,103.44,106.87,4076169
2003-02-28,107.83,108.20,106.11,106.11,723180
2003-03-03,106.68,106.68,103.32,103.32,125783
2003-03-04,103.20,105.19,103.20,105.19,1753357
2003-03-05,104.88,104.88,102.66,102.66,53913
2003-03-06,102.43,103.72,102.43,103.20,414648
2003-03-07,102.82,102.82,101.42,101.42,423304
2003-03-10,102.15,103.50,102.15,103.37,394725
2003-03-11,103.37,105.94,103.37,105.78,3478949
2003-03-12,104.38,105.61,103.45,105.61,2745777
2003-03-13,105.39,105.39,104.21,104.26,1006782
2003-03-14,104.01,104.10,103.30,104.10,26761
2003-03-17,103.96,103.96,102.50,102.86,567637
2003-03-18,103.31,103.31,101.69,102.05,4337815
2003-03-19,102.57,102.57,101.09,101.64,645489
2003-03-20,102.18,103.33,101.14,101.14,192333
2003-03-21,101.34,101.34,100.08,101.28,6787251
2003-03-24,101.20,101.43,99.87,99.87,116314
2003-03-25,98.43,98.65,96.20,96.20,359273
2003-03-26,96.50,97.28,96.50,97.23,726375
2003-03-27,97.05,98.69,96.87,98.69,4926943
2003-03-28,99.97,101.38,99.92,100.75,255140
2003-03-31,99.72,101.27,99.72,100.28,3917833
2003-04-01,100.59,100.59,99.40,99.40,37730
2003-04-02,99.25,102.21,99.25,102.21,627601
2003-04-03,102.44,103.16,101.76,103.16,168879
2003-04-04,102.69,103.33,102.53,103.33,3407727
2003-04-07,102.90,106.00,102.90,105.97,1058599
2003-04-08,107.65,108.99,107.57,108.99,4374905
2003-04-09,108.93,110.95,108.93,110.47,32578
2003-04-10,109.32,109.32,108.29,108.93,669402
2003-04-11,108.39,110.93,108.39,110.93,594607
2003-04-14,110.70,110.70,109.35,109.35,374243
2003-04-15,108.62,109.04,106.77,109.04,6297278
2003-04-16,109.57,109.81,109.34,109.34,22190
2003-04-17,108.48,108.48,107.07,107.16,4226614
2003-04-18,107.54,108.73,107.54,108.22,1180499
2003-04-21,109.63,109.63,107.78,107.78,3840049
2003-04-22,107.19,109.20,107.19,109.20,1671788
2003-04-23,108.77,109.80,108.77,109.80,1127446
2003-04-24,108.35,111.33,108.35,111.33,859098
2003-04-25,110.52,110.52,109.70,109.96,792820
2003-04-28,111.26,111.58,110.98,111.10,137731
2003-04-29,109.59,109.75,108.19,109.49,192328
2003-04-30,108.39,109.78,108.27,109.78,548921
2003-05-01,108.95,108.95,107.81,108.88,211372
2003-05-02,109.69,111.86,109.69,111.23,15887
2003-05-05,110.97,110.97,108.98,108.98,490470
2003-05-06,109.23,110.92,108.29,110.92,148254
2003-05-07,111.86,111.86,109.70,109.70,420669
2003-05-08,109.24,110.25,108.89,110.25,146820
2003-05-09,110.59,112.47,110.52,110.52,83256
2003-05-12,110.36,111.23,110.23,111.23,153589
2003-05-13,111.48,111.48,109.15,109.15,11507321
2003-05-14,109.39,109.39,107.88,108.29,16180
2003-05-15,108.68,110.47,108.68,110.47,204697
2003-05-16,109.80,111.32,109.80,110.90,691897
2003-05-19,111.31,113.35,111.31,113.35,1555124
2003-05-20,115.24,115.24,113.51,113.51,212667
2003-05-21,114.99,117.18,114.99,117.07,1799085
2003-05-22,118.79,118.79,115.54,115.54,2499741
2003-05-23,114.05,115.78,114.05,115.78,89243
2003-05-26,114.60,116.58,114.60,116.58,286529
2003-05-27,116.47,117.79,116.47,117.21,10312
2003-05-28,116.60,118.23,116.60,118.23,136269
2003-05-29,119.44,119.77,118.85,118.85,199607
2003-05-30,116.49,119.55,116.49,119.55,782505
2003-06-02,117.69,119.73,117.69,118.81,533344
2003-06-03,119.23,121.12,119.23,121.12,50991
2003-06-04,119.99,119.99,118.76,118.76,369076
2003-06-05,118.28,118.28,117.18,117.18,5037486
2003-06-06,116.15,116.15,112.59,114.56,887281
2003-06-09,114.65,116.12,114.65,116.12,502448
2003-06-10,116.45,116.45,115.00,115.00,238999
2003-06-11,113.03,113.17,109.90,109.90,220023
2003-06-12,111.10,111.10,108.22,108.22,471821
2003-06-13,108.10,108.10,106.84,106.84,1573670
2003-06-16,105.48,107.38,105.04,106.33,539129
2003-06-17,106.09,106.85,104.76,104.76,2948276
2003-06-18,103.95,104.26,101.66,102.19,312600
2003-06-19,102.94,103.01,100.83,102.12,509971
2003-06-20,100.95,101.04,99.86,99.86,197642
2003-06-23,100.45,102.33,100.45,102.33,629280
2003-06-24,102.47,102.47,101.03,102.47,678086
2003-06-25,102.50,105.06,102.50,105.06,5286914
2003-06-26,104.11,109.92,104.11,109.92,219922
2003-06-27,109.26,113.21,109.26,113.21,3505969
2003-06-30,111.49,111.49,109.73,109.73,1053694
2003-07-01,110.96,112.56,110.16,112.56,268728
2003-07-02,109.64,111.77,107.96,107.96,84044
2003-07-03,107.16,107.57,106.37,107.57,1733349
2003-07-04,106.26,109.42,106.04,109.42,650591
2003-07-07,110.05,111.80,109.00,111.80,247727
2003-07-08,111.89,111.89,110.82,110.82,1883559
