0,1,2
ABBV,2023-05-05,148.03
ATVI,2023-05-05,76.0
ADBE,2023-05-05,348.4
AKAM,2023-05-05,78.56
ALGN,2023-05-05,313.64
ALLE,2023-05-05,108.09
GOOG,2023-05-05,106.215
AMZN,2023-05-05,105.655
AMCR,2023-05-05,10.42
AMGN,2023-05-05,236.53
ANSS,2023-05-05,301.68
AAPL,2023-05-05,173.57
AMAT,2023-05-05,116.06
APTV,2023-05-05,93.42
ACGL,2023-05-05,74.81
ANET,2023-05-05,137.98
ADSK,2023-05-05,194.94
AXON,2023-05-05,219.91
BALL,2023-05-05,58.6
BBWI,2023-05-05,33.71
TECH,2023-05-05,83.13
BIIB,2023-05-05,318.06
BKNG,2023-05-05,2569.3
AVGO,2023-05-05,630.12
BF.B,2023-05-05,64.67
CHRW,2023-05-05,104.5
CDNS,2023-05-05,205.24
CARR,2023-05-05,42.38
CTLT,2023-05-05,47.75
CBOE,2023-05-05,136.58
CBRE,2023-05-05,74.55
CDAY,2023-05-05,56.7
SCHW,2023-05-05,49.24
CHTR,2023-05-05,350.85
CINF,2023-05-05,105.24
CTAS,2023-05-05,466.37
CSCO,2023-05-05,46.25
CTSH,2023-05-05,63.29
CPRT,2023-05-05,78.89
CTVA,2023-05-05,58.25
CSGP,2023-05-05,74.6
COST,2023-05-05,499.06
CTRA,2023-05-05,25.09
XRAY,2023-05-05,41.3
DXCM,2023-05-05,120.82
FANG,2023-05-05,132.8
DISH,2023-05-05,7.12
DLTR,2023-05-05,155.47
EBAY,2023-05-05,45.63
ENPH,2023-05-05,159.65
EPAM,2023-05-05,242.47
EQIX,2023-05-05,740.0
ETSY,2023-05-05,90.0
EVRG,2023-05-05,62.59
EXPE,2023-05-05,93.54
EXPD,2023-05-05,117.67
FFIV,2023-05-05,133.22
FICO,2023-05-05,731.98
FAST,2023-05-05,54.66
FITB,2023-05-05,24.92
FSLR,2023-05-05,178.6
FISV,2023-05-05,120.3
FTNT,2023-05-05,64.59
FOXA,2023-05-05,31.97
GRMN,2023-05-05,103.78
GEHC,2023-05-05,78.99
GNRC,2023-05-05,114.18
GILD,2023-05-05,79.75
PEAK,2023-05-05,21.48
HSIC,2023-05-05,79.75
HOLX,2023-05-05,83.74
HBAN,2023-05-05,9.85
IDXX,2023-05-05,488.49
ILMN,2023-05-05,199.66
INCY,2023-05-05,66.56
PODD,2023-05-05,328.76
INTC,2023-05-05,30.99
INTU,2023-05-05,425.95
ISRG,2023-05-05,304.88
INVH,2023-05-05,34.39
JBHT,2023-05-05,179.12
JKHY,2023-05-05,152.93
JNPR,2023-05-05,28.85
KEYS,2023-05-05,143.66
KLAC,2023-05-05,385.66
LRCX,2023-05-05,529.76
LDOS,2023-05-05,80.83
MKTX,2023-05-05,300.33
MTCH,2023-05-05,33.22
META,2023-05-05,232.78
MCHP,2023-05-05,75.18
MSFT,2023-05-05,310.65
MRNA,2023-05-05,137.04
MDLZ,2023-05-05,77.56
MPWR,2023-05-05,411.27
MNST,2023-05-05,59.71
MSCI,2023-05-05,473.65
NDAQ,2023-05-05,54.92
NTAP,2023-05-05,63.85
NFLX,2023-05-05,322.76
NWSA,2023-05-05,17.12
NDSN,2023-05-05,220.17
NTRS,2023-05-05,73.03
NCLH,2023-05-05,14.13
NVDA,2023-05-05,286.8
NXPI,2023-05-05,166.82
ORLY,2023-05-05,940.78
ODFL,2023-05-05,316.97
ORCL,2023-05-05,96.97
OTIS,2023-05-05,85.96
PCAR,2023-05-05,72.76
PARA,2023-05-05,16.86
PAYX,2023-05-05,107.83
PAYC,2023-05-05,272.63
PYPL,2023-05-05,74.97
POOL,2023-05-05,353.96
QRVO,2023-05-05,92.91
QCOM,2023-05-05,108.78
REGN,2023-05-05,762.1
ROST,2023-05-05,104.44
SPGI,2023-05-05,354.19
SBAC,2023-05-05,239.59
SWKS,2023-05-05,104.12
SEDG,2023-05-05,293.39
SBUX,2023-05-05,107.21
STLD,2023-05-05,98.2
SNPS,2023-05-05,371.56
TMUS,2023-05-05,143.56
TROW,2023-05-05,107.47
