Ticker,Date,LastPrice,Volume
ABBV,2023-05-05,148.03,190.0
ATVI,2023-05-05,76.0,5202374.0
ADBE,2023-05-05,348.4,4260015.0
AKAM,2023-05-05,78.56,2046964.0
ALGN,2023-05-05,313.64,595910.0
ALLE,2023-05-05,108.09,813840.0
GOOG,2023-05-05,106.215,20705122.0
AMZN,2023-05-05,105.655,58056663.0
AMCR,2023-05-05,10.42,18.0
AMGN,2023-05-05,236.53,2806756.0
ANSS,2023-05-05,301.68,714620.0
AAPL,2023-05-05,173.57,113312319.0
AMAT,2023-05-05,116.06,4874191.0
APTV,2023-05-05,93.42,2561537.0
ACGL,2023-05-05,74.81,1901189.0
ANET,2023-05-05,137.98,295.0
ADSK,2023-05-05,194.94,1281154.0
AXON,2023-05-05,219.91,796603.0
BALL,2023-05-05,58.6,4.0
BBWI,2023-05-05,33.71,5333894.0
TECH,2023-05-05,83.13,899313.0
BIIB,2023-05-05,318.06,1734402.0
BKNG,2023-05-05,2569.3,788160.0
AVGO,2023-05-05,630.12,2486376.0
BF.B,2023-05-05,64.67,1018686.0
CHRW,2023-05-05,104.5,842987.0
CDNS,2023-05-05,205.24,1749068.0
CARR,2023-05-05,42.38,604.0
CTLT,2023-05-05,47.75,105.0
CBOE,2023-05-05,136.58,962858.0
CBRE,2023-05-05,74.55,1671187.0
CDAY,2023-05-05,56.7,2347132.0
SCHW,2023-05-05,49.24,12685.0
CHTR,2023-05-05,350.85,854124.0
CINF,2023-05-05,105.24,593264.0
CTAS,2023-05-05,466.37,307285.0
CSCO,2023-05-05,46.25,14315003.0
CTSH,2023-05-05,63.29,3853001.0
CPRT,2023-05-05,78.89,1589095.0
CTVA,2023-05-05,58.25,405.0
CSGP,2023-05-05,74.6,1615013.0
COST,2023-05-05,499.06,1708507.0
CTRA,2023-05-05,25.09,1536.0
XRAY,2023-05-05,41.3,1419363.0
DXCM,2023-05-05,120.82,2170091.0
FANG,2023-05-05,132.8,2272085.0
DISH,2023-05-05,7.12,13965233.0
DLTR,2023-05-05,155.47,1971034.0
EBAY,2023-05-05,45.63,5206441.0
ENPH,2023-05-05,159.65,3400152.0
EPAM,2023-05-05,242.47,554.0
EQIX,2023-05-05,740.0,431448.0
ETSY,2023-05-05,90.0,6988533.0
EVRG,2023-05-05,62.59,1523621.0
EXPE,2023-05-05,93.54,7073255.0
EXPD,2023-05-05,117.67,1424405.0
FFIV,2023-05-05,133.22,462315.0
FICO,2023-05-05,731.98,6.0
FAST,2023-05-05,54.66,2161388.0
FITB,2023-05-05,24.92,12577937.0
FSLR,2023-05-05,178.6,1651210.0
FISV,2023-05-05,120.3,2163176.0
FTNT,2023-05-05,64.59,9353074.0
FOXA,2023-05-05,31.97,3059958.0
GRMN,2023-05-05,103.78,6.0
GEHC,2023-05-05,78.99,1077447.0
GNRC,2023-05-05,114.18,4.0
GILD,2023-05-05,79.75,4613196.0
PEAK,2023-05-05,21.48,52.0
HSIC,2023-05-05,79.75,551680.0
HOLX,2023-05-05,83.74,855631.0
HBAN,2023-05-05,9.85,28410854.0
IDXX,2023-05-05,488.49,443297.0
ILMN,2023-05-05,199.66,801367.0
INCY,2023-05-05,66.56,1626638.0
PODD,2023-05-05,328.76,975970.0
INTC,2023-05-05,30.99,35047475.0
INTU,2023-05-05,425.95,1800060.0
