date,last
2022-12-30,84.0
2022-12-29,84.18
2022-12-28,81.82
2022-12-27,83.04
2022-12-23,85.25
2022-12-22,83.79
2022-12-21,86.77
2022-12-20,85.19
2022-12-19,84.92
2022-12-16,87.86
2022-12-15,88.45
2022-12-14,91.58
2022-12-13,92.49
2022-12-12,90.55
2022-12-09,89.09
2022-12-08,90.35
2022-12-07,88.46
2022-12-06,88.25
2022-12-05,91.01
2022-12-02,94.13
2022-12-01,95.5
2022-11-30,96.54
2022-11-29,92.42
2022-11-28,93.95
2022-11-25,93.41
2022-11-23,94.13
2022-11-22,93.2
2022-11-21,92.46
2022-11-18,94.14
2022-11-17,94.85
2022-11-16,97.12
2022-11-15,98.94
2022-11-14,98.49
2022-11-11,100.79
2022-11-10,96.63
2022-11-09,86.14
2022-11-08,89.98
2022-11-07,90.53
2022-11-04,90.98
2022-11-03,89.3
2022-11-02,92.12
2022-11-01,96.79
2022-10-31,102.44
2022-10-28,103.41
2022-10-27,110.96
2022-10-26,115.66
2022-10-25,120.6
2022-10-24,119.82
2022-10-21,119.32
2022-10-20,115.25
2022-10-19,115.07
2022-10-18,116.36
2022-10-17,113.79
2022-10-14,106.9
2022-10-13,112.53
2022-10-12,112.9
2022-10-11,112.21
2022-10-10,113.67
2022-10-07,114.56
2022-10-06,120.3
2022-10-05,120.95
2022-10-04,121.09
2022-10-03,115.88
2022-09-30,113.0
2022-09-29,114.8
2022-09-28,118.01
2022-09-27,114.41
2022-09-26,115.15
2022-09-23,113.78
2022-09-22,117.31
2022-09-21,118.54
2022-09-20,122.19
2022-09-19,124.66
2022-09-16,123.53
2022-09-15,126.28
2022-09-14,128.55
2022-09-13,128.3
2022-09-12,136.45
2022-09-09,133.27
2022-09-08,129.82
2022-09-07,129.48
2022-09-06,126.11
2022-09-02,127.51
2022-09-01,127.82
2022-08-31,126.77
2022-08-30,128.73
2022-08-29,129.79
2022-08-26,130.75
2022-08-25,137.3
2022-08-24,133.8
2022-08-23,133.62
2022-08-22,133.22
2022-08-19,138.23
2022-08-18,142.3
2022-08-17,142.1
2022-08-16,144.78
2022-08-15,143.18
2022-08-12,143.55
2022-08-11,140.64
2022-08-10,142.69
2022-08-09,137.83
2022-08-08,139.41
2022-08-05,140.8
2022-08-04,142.57
2022-08-03,139.52
2022-08-02,134.16
2022-08-01,135.39
2022-07-29,134.95
2022-07-28,122.28
2022-07-27,120.97
2022-07-26,114.81
2022-07-25,121.14
2022-07-22,122.42
2022-07-21,124.63
2022-07-20,122.77
2022-07-19,118.21
2022-07-18,113.76
2022-07-15,113.55
2022-07-14,110.63
2022-07-13,110.4
2022-07-12,109.22
2022-07-11,111.75
2022-07-08,115.54
2022-07-07,116.33
2022-07-06,114.33
2022-07-05,113.5
2022-07-01,109.56
2022-06-30,106.21
2022-06-29,108.92
2022-06-28,107.4
2022-06-27,113.22
2022-06-24,116.46
2022-06-23,112.44
2022-06-22,108.95
2022-06-21,108.68
2022-06-17,106.22
2022-06-16,103.66
2022-06-15,107.67
2022-06-14,102.31
2022-06-13,103.67
2022-06-10,109.65
2022-06-09,116.15
2022-06-08,121.18
2022-06-07,123.0
2022-06-06,124.79
2022-06-03,2447.0
2022-06-02,2510.22
2022-06-01,2433.68
2022-05-31,2404.19
2022-05-27,2302.93
2022-05-26,2221.55
2022-05-25,2135.5
2022-05-24,2082.0
2022-05-23,2151.14
2022-05-20,2151.82
2022-05-19,2146.38
2022-05-18,2142.25
2022-05-17,2307.37
2022-05-16,2216.21
2022-05-13,2261.1
2022-05-12,2138.61
2022-05-11,2107.44
2022-05-10,2177.18
2022-05-09,2175.78
2022-05-06,2295.45
2022-05-05,2328.14
2022-05-04,2518.57
2022-05-03,2485.07
2022-05-02,2490.0
2022-04-29,2485.63
2022-04-28,2891.93
2022-04-27,2763.34
2022-04-26,2787.82
2022-04-25,2921.48
2022-04-22,2887.0
2022-04-21,2965.92
2022-04-20,3079.96
2022-04-19,3162.31
2022-04-18,3055.7
2022-04-14,3034.13
2022-04-13,3110.82
2022-04-12,3015.75
2022-04-11,3022.44
2022-04-08,3089.21
2022-04-07,3155.69
2022-04-06,3174.51
2022-04-05,3281.1
2022-04-04,3366.93
2022-04-01,3271.2
2022-03-31,3259.95
2022-03-30,3326.02
2022-03-29,3386.3
2022-03-28,3379.81
2022-03-25,3295.47
2022-03-24,3272.99
2022-03-23,3268.16
2022-03-22,3297.78
2022-03-21,3229.83
2022-03-18,3225.01
2022-03-17,3144.78
2022-03-16,3062.08
2022-03-15,2947.33
