date,last
2022-12-30,88.73
2022-12-29,88.95
2022-12-28,86.46
2022-12-27,87.93
2022-12-23,89.81
2022-12-22,88.26
2022-12-21,90.25
2022-12-20,89.63
2022-12-19,89.15
2022-12-16,90.86
2022-12-15,91.2
2022-12-14,95.31
2022-12-13,95.85
2022-12-12,93.56
2022-12-09,93.07
2022-12-08,93.95
2022-12-07,95.15
2022-12-06,97.31
2022-12-05,99.87
2022-12-02,100.83
2022-12-01,101.28
2022-11-30,101.45
2022-11-29,95.44
2022-11-28,96.25
2022-11-25,97.6
2022-11-23,98.82
2022-11-22,97.33
2022-11-21,95.83
2022-11-18,97.8
2022-11-17,98.5
2022-11-16,98.99
2022-11-15,98.72
2022-11-14,96.03
2022-11-11,96.73
2022-11-10,94.17
2022-11-09,87.4
2022-11-08,88.91
2022-11-07,88.65
2022-11-04,86.7
2022-11-03,83.49
2022-11-02,87.07
2022-11-01,90.5
2022-10-31,94.66
2022-10-28,96.58
2022-10-27,92.6
2022-10-26,94.82
2022-10-25,104.93
2022-10-24,102.97
2022-10-21,101.48
2022-10-20,100.53
2022-10-19,100.29
2022-10-18,101.39
2022-10-17,100.78
2022-10-14,97.18
2022-10-13,99.71
2022-10-12,98.3
2022-10-11,98.05
2022-10-10,98.71
2022-10-07,99.57
2022-10-06,102.24
2022-10-05,102.22
2022-10-04,102.41
2022-10-03,99.3
2022-09-30,96.15
2022-09-29,98.09
2022-09-28,100.74
2022-09-27,98.09
2022-09-26,98.81
2022-09-23,99.17
2022-09-22,100.57
2022-09-21,100.01
2022-09-20,101.83
2022-09-19,103.85
2022-09-16,103.63
2022-09-15,103.9
2022-09-14,105.87
2022-09-13,106.481
2022-09-12,111.87
2022-09-09,111.78
2022-09-08,109.42
2022-09-07,110.48
2022-09-06,107.48
2022-09-02,108.68
2022-09-01,110.55
2022-08-31,109.15
2022-08-30,109.91
2022-08-29,110.34
2022-08-26,111.3
2022-08-25,117.7
2022-08-24,114.7
2022-08-23,114.77
2022-08-22,115.07
2022-08-19,118.12
2022-08-18,120.86
2022-08-17,120.32
2022-08-16,122.51
2022-08-15,122.88
2022-08-12,122.65
2022-08-11,119.82
2022-08-10,120.65
2022-08-09,117.5
2022-08-08,118.14
2022-08-05,118.22
2022-08-04,118.88
2022-08-03,118.78
2022-08-02,115.9
2022-08-01,115.48
2022-07-29,116.64
2022-07-28,114.59
2022-07-27,113.6
2022-07-26,105.44
2022-07-25,108.21
2022-07-22,108.36
2022-07-21,115.04
2022-07-20,114.7
2022-07-19,114.62
2022-07-18,109.91
2022-07-15,2255.34
2022-07-14,2228.8
2022-07-13,2243.74
2022-07-12,2296.99
2022-07-11,2330.45
2022-07-08,2403.37
2022-07-07,2385.35
2022-07-06,2304.27
