date,last
2023-05-15,102.0
2023-05-12,98.8
2023-05-11,99.51
2023-05-10,99.54
2023-05-09,101.0
2023-05-08,100.92
2023-05-05,100.24
2023-05-04,99.32
2023-05-03,101.77
2023-05-02,101.51
2023-05-01,101.18
2023-04-28,98.97
2023-04-27,98.06
2023-04-26,96.21
2023-04-25,98.44
2023-04-24,100.15
2023-04-21,99.51
2023-04-20,99.76
2023-04-19,99.03
2023-04-18,98.47
2023-04-17,96.77
2023-04-14,95.44
2023-04-13,94.3
2023-04-12,94.1
2023-04-11,93.91
2023-04-10,94.36
2023-04-06,93.6
2023-04-05,94.25
2023-04-04,95.05
2023-04-03,96.92
2023-03-31,95.6
2023-03-30,94.05
2023-03-29,94.06
2023-03-28,93.14
2023-03-27,93.31
2023-03-24,91.37
2023-03-23,91.59
2023-03-22,89.59
2023-03-21,92.18
2023-03-20,89.92
2023-03-17,90.29
2023-03-16,91.97
2023-03-15,89.76
2023-03-14,91.17
2023-03-13,88.97
2023-03-10,91.0
2023-03-09,91.56
2023-03-08,86.98
2023-03-07,86.39
2023-03-06,87.06
2023-03-03,86.38
2023-03-02,85.72
2023-03-01,84.14
2023-02-28,84.71
2023-02-27,83.84
2023-02-24,83.55
2023-02-23,82.94
2023-02-22,83.19
2023-02-21,82.26
2023-02-17,83.04
2023-02-16,84.05
2023-02-15,84.77
2023-02-14,83.54
2023-02-13,82.68
2023-02-10,81.29
2023-02-09,80.79
2023-02-08,81.96
2023-02-07,82.11
2023-02-06,82.35
2023-02-03,81.96
2023-02-02,83.94
2023-02-01,82.32
2023-01-31,80.48
2023-01-30,80.83
2023-01-27,83.23
2023-01-26,81.14
2023-01-25,80.79
2023-01-24,80.7
2023-01-23,79.77
2023-01-20,77.68
2023-01-19,76.86
2023-01-18,79.27
2023-01-17,80.49
2023-01-13,80.2
2023-01-12,78.86
2023-01-11,77.69
2023-01-10,75.27
2023-01-09,72.67
2023-01-06,71.94
2023-01-05,71.29
2023-01-04,70.2
2023-01-03,84.98
2022-12-30,83.79
2022-12-29,83.75
2022-12-28,81.97
2022-12-27,82.84
2022-12-23,81.79
2022-12-22,81.77
2022-12-21,82.98
2022-12-20,80.33
2022-12-19,78.06
2022-12-16,77.65
2022-12-15,78.81
2022-12-14,81.47
