date,last
2023-05-15,29.8
2023-05-12,28.95
2023-05-11,28.86
2023-05-10,29.97
2023-05-09,30.1
2023-05-08,30.77
2023-05-05,30.99
2023-05-04,31.24
2023-05-03,30.65
2023-05-02,29.77
2023-05-01,30.3
2023-04-28,31.06
2023-04-27,29.86
2023-04-26,29.05
2023-04-25,28.88
2023-04-24,29.66
2023-04-21,30.3
2023-04-20,30.86
2023-04-19,31.15
2023-04-18,31.83
2023-04-17,32.14
2023-04-14,31.89
2023-04-13,32.13
2023-04-12,32.02
2023-04-11,32.35
2023-04-10,32.52
2023-04-06,32.81
2023-04-05,32.83
2023-04-04,33.1
2023-04-03,32.89
2023-03-31,32.655
2023-03-30,32.09
2023-03-29,31.52
2023-03-28,29.29
2023-03-27,29.18
2023-03-24,29.36
2023-03-23,29.03
2023-03-22,28.115
2023-03-21,28.46
2023-03-20,29.16
2023-03-17,29.81
2023-03-16,30.18
2023-03-15,28.44
2023-03-14,28.0
2023-03-13,26.95
2023-03-10,27.22
2023-03-09,26.44
2023-03-08,25.98
2023-03-07,25.53
2023-03-06,25.99
2023-03-03,26.4
2023-03-02,26.2
2023-03-01,25.33
2023-02-28,24.93
2023-02-27,24.9
2023-02-24,25.14
2023-02-23,25.61
2023-02-22,25.47
2023-02-21,26.06
2023-02-17,27.61
2023-02-16,28.2
2023-02-15,28.85
2023-02-14,28.64
2023-02-13,28.55
2023-02-10,27.8
2023-02-09,27.73
2023-02-08,28.24
2023-02-07,29.05
2023-02-06,28.69
2023-02-03,30.32
2023-02-02,30.19
2023-02-01,29.07
2023-01-31,28.26
2023-01-30,27.95
2023-01-27,28.16
2023-01-26,30.09
2023-01-25,29.7
2023-01-24,29.92
2023-01-23,30.27
2023-01-20,29.22
2023-01-19,28.42
2023-01-18,28.81
2023-01-17,29.6
2023-01-13,30.11
2023-01-12,30.29
2023-01-11,29.85
2023-01-10,29.44
2023-01-09,29.31
2023-01-06,28.73
2023-01-05,27.56
2023-01-04,27.68
2023-01-03,26.73
2022-12-30,26.43
2022-12-29,26.21
2022-12-28,25.54
2022-12-27,25.94
2022-12-23,26.09
2022-12-22,25.97
2022-12-21,26.83
2022-12-20,26.44
2022-12-19,26.79
2022-12-16,26.92
2022-12-15,27.15
2022-12-14,28.26
2022-12-13,28.73
2022-12-12,28.69
2022-12-09,28.24
2022-12-08,28.44
2022-12-07,28.33
2022-12-06,28.6
2022-12-05,29.17
2022-12-02,29.41
2022-12-01,29.83
2022-11-30,30.07
2022-11-29,28.9
2022-11-28,28.725
2022-11-25,29.34
2022-11-23,29.67
2022-11-22,29.82
2022-11-21,28.94
2022-11-18,29.87
2022-11-17,29.89
2022-11-16,29.53
2022-11-15,30.71
2022-11-14,30.35
2022-11-11,30.43
2022-11-10,29.76
2022-11-09,27.52
2022-11-08,28.48
2022-11-07,28.41
2022-11-04,28.2
2022-11-03,27.39
2022-11-02,27.42
2022-11-01,28.3
2022-10-31,28.43
2022-10-28,29.07
2022-10-27,26.27
2022-10-26,27.21
2022-10-25,27.41
2022-10-24,27.18
2022-10-21,26.97
2022-10-20,26.08
2022-10-19,26.0
2022-10-18,25.87
2022-10-17,26.42
2022-10-14,25.91
2022-10-13,26.42
2022-10-12,25.33
2022-10-11,25.04
2022-10-10,25.2
2022-10-07,25.72
2022-10-06,27.18
2022-10-05,27.64
2022-10-04,27.7
2022-10-03,26.97
2022-09-30,25.77
2022-09-29,26.38
2022-09-28,27.13
2022-09-27,26.89
2022-09-26,26.97
2022-09-23,27.52
2022-09-22,28.07
2022-09-21,28.47
2022-09-20,28.96
2022-09-19,29.44
2022-09-16,29.24
2022-09-15,28.84
2022-09-14,29.18
2022-09-13,29.75
2022-09-12,31.56
2022-09-09,31.46
2022-09-08,30.75
2022-09-07,30.65
2022-09-06,30.36
2022-09-02,31.22
2022-09-01,31.76
2022-08-31,31.9
2022-08-30,32.26
2022-08-29,32.94
2022-08-26,33.36
2022-08-25,34.89
2022-08-24,33.86
2022-08-23,33.95
2022-08-22,33.84
2022-08-19,35.38
2022-08-18,36.2
2022-08-17,35.78
2022-08-16,36.19
2022-08-15,36.34
2022-08-12,36.11
2022-08-11,35.59
2022-08-10,35.37
2022-08-09,34.52
2022-08-08,35.38
2022-08-05,35.39
2022-08-04,35.66
2022-08-03,36.52
2022-08-02,36.01
2022-08-01,36.96
2022-07-29,36.31
2022-07-28,39.71
2022-07-27,40.18
2022-07-26,38.96
2022-07-25,39.16
2022-07-22,39.2
2022-07-21,40.61
2022-07-20,40.56
2022-07-19,40.22
2022-07-18,38.71
2022-07-15,38.62
2022-07-14,37.71
2022-07-13,37.2
2022-07-12,37.21
2022-07-11,37.2
2022-07-08,37.99
2022-07-07,38.14
2022-07-06,36.99
2022-07-05,36.69
2022-07-01,36.34
2022-06-30,37.41
2022-06-29,37.29
2022-06-28,37.78
2022-06-27,38.63
2022-06-24,38.61
2022-06-23,37.41
2022-06-22,37.38
2022-06-21,37.73
2022-06-17,36.97
2022-06-16,37.34
2022-06-15,38.65
2022-06-14,37.93
2022-06-13,37.77
2022-06-10,39.18
2022-06-09,40.01
2022-06-08,41.23
2022-06-07,43.53
2022-06-06,43.34
2022-06-03,43.39
2022-06-02,44.84
2022-06-01,44.11
2022-05-31,44.42
2022-05-27,44.55
2022-05-26,43.48
2022-05-25,42.2
2022-05-24,41.67
2022-05-23,42.0
2022-05-20,41.65
2022-05-19,42.01
2022-05-18,42.35
2022-05-17,44.4
2022-05-16,43.08
2022-05-13,43.6
2022-05-12,42.84
2022-05-11,42.83
2022-05-10,44.01
2022-05-09,43.07
2022-05-06,44.3
2022-05-05,44.6
2022-05-04,46.54
2022-05-03,45.06
2022-05-02,44.96
2022-04-29,43.59
2022-04-28,46.84
2022-04-27,45.22
2022-04-26,45.52
2022-04-25,47.06
2022-04-22,46.54
2022-04-21,47.5
2022-04-20,48.11
2022-04-19,47.93
2022-04-18,46.64
2022-04-14,45.67
2022-04-13,47.01
