date,last
2023-05-15,159.55
2023-05-12,160.78
2023-05-11,160.99
2023-05-10,161.65
2023-05-09,161.05
2023-05-08,162.31
2023-05-05,162.68
2023-05-04,162.13
2023-05-03,162.87
2023-05-02,165.03
2023-05-01,163.6
2023-04-28,163.7
2023-04-27,163.0
2023-04-26,162.62
2023-04-25,165.18
2023-04-24,163.68
2023-04-21,162.69
2023-04-20,163.58
2023-04-19,162.53
2023-04-18,161.01
2023-04-17,165.67
2023-04-14,165.84
2023-04-13,166.11
2023-04-12,163.92
2023-04-11,164.27
2023-04-10,164.32
2023-04-06,165.15
2023-04-05,165.61
2023-04-04,158.49
2023-04-03,156.85
2023-03-31,154.93
2023-03-30,153.43
2023-03-29,153.31
2023-03-28,151.82
2023-03-27,153.3
2023-03-24,152.65
2023-03-23,151.13
2023-03-22,151.05
2023-03-21,153.89
2023-03-20,153.89
2023-03-17,152.38
2023-03-16,154.03
2023-03-15,154.35
2023-03-14,153.92
2023-03-13,153.06
2023-03-10,151.61
2023-03-09,151.24
2023-03-08,152.96
2023-03-07,154.09
2023-03-06,155.56
2023-03-03,154.02
2023-03-02,152.45
2023-03-01,152.57
2023-02-28,153.26
2023-02-27,155.63
2023-02-24,155.97
2023-02-23,157.73
2023-02-22,157.78
2023-02-21,158.0
2023-02-17,160.39
2023-02-16,158.24
2023-02-15,159.37
2023-02-14,162.04
2023-02-13,162.75
2023-02-10,162.15
2023-02-09,161.4
2023-02-08,163.61
2023-02-07,163.4
2023-02-06,163.36
2023-02-03,164.61
2023-02-02,165.54
2023-02-01,164.92
2023-01-31,163.42
2023-01-30,162.0
2023-01-27,168.23
2023-01-26,168.89
2023-01-25,169.51
2023-01-24,168.31
2023-01-23,168.31
2023-01-20,168.74
2023-01-19,169.53
2023-01-18,169.76
2023-01-17,172.36
2023-01-13,173.43
2023-01-12,174.0
2023-01-11,174.88
2023-01-10,175.16
2023-01-09,175.58
2023-01-06,180.25
2023-01-05,178.8
2023-01-04,180.13
2023-01-03,178.19
2022-12-30,176.65
2022-12-29,177.56
2022-12-28,176.66
2022-12-27,177.43
2022-12-23,177.48
2022-12-22,177.03
2022-12-21,177.68
2022-12-20,175.67
2022-12-19,175.48
2022-12-16,175.67
2022-12-15,177.49
2022-12-14,179.76
2022-12-13,179.21
2022-12-12,177.84
2022-12-09,175.74
2022-12-08,177.2
2022-12-07,177.17
2022-12-06,176.1
2022-12-05,178.78
2022-12-02,178.88
2022-12-01,178.74
2022-11-30,178.0
2022-11-29,176.09
2022-11-28,177.33
2022-11-25,177.24
2022-11-23,177.01
2022-11-22,176.82
2022-11-21,175.97
2022-11-18,176.2
2022-11-17,174.86
2022-11-16,173.46
2022-11-15,172.39
2022-11-14,171.91
2022-11-11,169.25
2022-11-10,174.47
2022-11-09,172.45
2022-11-08,173.84
2022-11-07,172.98
2022-11-04,171.48
2022-11-03,170.72
2022-11-02,170.43
2022-11-01,173.09
2022-10-31,173.97
2022-10-28,174.87
2022-10-27,172.31
2022-10-26,172.21
2022-10-25,170.71
2022-10-24,170.98
2022-10-21,168.71
2022-10-20,165.11
2022-10-19,164.69
2022-10-18,166.01
2022-10-17,166.59
