date,last
2023-05-15,295.9
2023-05-12,296.14
2023-05-11,294.79
2023-05-10,296.57
2023-05-09,296.66
2023-05-08,296.69
2023-05-05,296.6
2023-05-04,295.16
2023-05-03,295.22
2023-05-02,298.07
2023-05-01,297.58
2023-04-28,295.75
2023-04-27,294.72
2023-04-26,289.76
2023-04-25,291.51
2023-04-24,293.2
2023-04-21,292.06
2023-04-20,291.0
2023-04-19,291.27
2023-04-18,290.91
2023-04-17,289.31
2023-04-14,288.98
2023-04-13,289.07
2023-04-12,285.3
2023-04-11,284.48
2023-04-10,283.78
2023-04-06,282.89
2023-04-05,282.02
2023-04-04,282.28
2023-04-03,282.14
2023-03-31,279.53
2023-03-30,277.79
2023-03-29,277.44
2023-03-28,275.85
2023-03-27,273.84
2023-03-24,271.33
2023-03-23,269.62
2023-03-22,267.87
2023-03-21,270.21
2023-03-20,270.74
2023-03-17,267.2
2023-03-16,270.57
2023-03-15,266.34
2023-03-14,265.9
2023-03-13,263.08
2023-03-10,262.03
2023-03-09,261.63
2023-03-08,265.33
2023-03-07,267.13
2023-03-06,270.64
2023-03-03,269.07
2023-03-02,267.57
2023-03-01,262.72
2023-02-28,263.91
2023-02-27,264.78
2023-02-24,263.68
2023-02-23,266.78
2023-02-22,268.64
2023-02-21,268.55
2023-02-17,269.99
2023-02-16,265.83
2023-02-15,266.56
2023-02-14,266.61
2023-02-13,266.2
2023-02-10,262.42
2023-02-09,260.66
2023-02-08,262.82
2023-02-07,267.34
2023-02-06,267.92
2023-02-03,264.23
2023-02-02,263.21
2023-02-01,266.27
2023-01-31,267.4
2023-01-30,270.89
2023-01-27,272.46
2023-01-26,274.72
2023-01-25,273.0
2023-01-24,269.56
2023-01-23,269.29
2023-01-20,268.58
2023-01-19,263.58
2023-01-18,266.04
2023-01-17,274.11
2023-01-13,268.89
2023-01-12,266.69
2023-01-11,268.81
2023-01-10,268.91
2023-01-09,267.25
2023-01-06,269.47
2023-01-05,262.16
2023-01-04,264.39
2023-01-03,264.33
2022-12-30,263.53
2022-12-29,265.93
2022-12-28,265.11
2022-12-27,266.84
2022-12-23,267.57
2022-12-22,265.77
2022-12-21,268.16
2022-12-20,267.25
2022-12-19,265.83
2022-12-16,266.12
2022-12-15,271.73
2022-12-14,274.53
2022-12-13,274.28
2022-12-12,276.62
2022-12-09,272.04
2022-12-08,273.39
2022-12-07,270.34
2022-12-06,271.77
2022-12-05,271.59
2022-12-02,273.4
2022-12-01,273.4
2022-11-30,272.79
2022-11-29,271.41
2022-11-28,272.88
2022-11-25,275.0
2022-11-23,273.27
2022-11-22,274.76
2022-11-21,274.52
2022-11-18,273.37
2022-11-17,273.36
2022-11-16,272.51
2022-11-15,267.84
