date,last
2023-05-15,335.89
2023-05-12,339.89
2023-05-11,344.76
2023-05-10,335.42
2023-05-09,332.14
2023-05-08,331.21
2023-05-05,322.76
2023-05-04,320.78
2023-05-03,319.3
2023-05-02,317.55
2023-05-01,324.12
2023-04-28,329.93
2023-04-27,325.85
2023-04-26,321.15
2023-04-25,322.55
2023-04-24,329.02
2023-04-21,327.98
2023-04-20,325.35
2023-04-19,323.12
2023-04-18,333.7
2023-04-17,332.72
2023-04-14,338.63
2023-04-13,346.19
2023-04-12,331.03
2023-04-11,338.21
2023-04-10,338.99
2023-04-06,339.33
2023-04-05,342.35
2023-04-04,346.75
2023-04-03,348.28
2023-03-31,345.48
2023-03-30,338.43
2023-03-29,332.03
2023-03-28,323.52
2023-03-27,327.66
2023-03-24,328.39
2023-03-23,320.37
2023-03-22,293.8
2023-03-21,305.79
2023-03-20,305.13
2023-03-17,303.5
2023-03-16,310.06
2023-03-15,303.79
2023-03-14,295.0
2023-03-13,293.51
2023-03-10,292.76
2023-03-09,297.78
2023-03-08,311.79
2023-03-07,308.47
2023-03-06,312.03
2023-03-03,315.18
2023-03-02,311.88
2023-03-01,313.48
2023-02-28,322.13
2023-02-27,323.03
2023-02-24,317.15
2023-02-23,323.65
2023-02-22,334.88
2023-02-21,337.5
2023-02-17,347.96
2023-02-16,350.71
2023-02-15,361.42
2023-02-14,359.96
2023-02-13,358.57
2023-02-10,347.36
2023-02-09,362.5
2023-02-08,366.83
2023-02-07,362.95
2023-02-06,361.48
2023-02-03,365.9
2023-02-02,366.89
2023-02-01,361.99
2023-01-31,353.86
2023-01-30,353.11
2023-01-27,360.77
2023-01-26,364.87
2023-01-25,367.96
2023-01-24,363.83
2023-01-23,357.42
2023-01-20,342.5
2023-01-19,315.78
2023-01-18,326.33
2023-01-17,326.22
2023-01-13,332.82
2023-01-12,330.13
2023-01-11,327.26
2023-01-10,327.54
2023-01-09,315.17
2023-01-06,315.55
2023-01-05,309.7
2023-01-04,309.41
2023-01-03,294.95
2022-12-30,294.88
2022-12-29,291.12
2022-12-28,276.88
2022-12-27,284.17
2022-12-23,294.965
2022-12-22,297.75
2022-12-21,297.96
2022-12-20,288.19
2022-12-19,288.3
2022-12-16,290.71
2022-12-15,290.41
2022-12-14,317.83
2022-12-13,320.34
2022-12-12,315.18
2022-12-09,320.01
2022-12-08,310.26
2022-12-07,308.42
2022-12-06,305.56
2022-12-05,312.59
2022-12-02,320.41
2022-12-01,316.95
2022-11-30,305.53
2022-11-29,280.96
2022-11-28,281.17
2022-11-25,285.54
2022-11-23,291.5
2022-11-22,286.69
2022-11-21,285.05
2022-11-18,287.98
2022-11-17,295.28
2022-11-16,306.02
2022-11-15,310.2
2022-11-14,299.27
2022-11-11,290.13
2022-11-10,274.97
2022-11-09,254.66
2022-11-08,263.46
2022-11-07,258.6
2022-11-04,260.79
2022-11-03,269.06
2022-11-02,273.0
2022-11-01,286.75
2022-10-31,291.88
2022-10-28,295.72
2022-10-27,296.94
2022-10-26,298.62
2022-10-25,291.02
2022-10-24,282.45
2022-10-21,289.57
2022-10-20,268.16
2022-10-19,272.38
2022-10-18,240.86
2022-10-17,245.1
2022-10-14,230.0
2022-10-13,232.51
2022-10-12,220.87
2022-10-11,214.29
2022-10-10,229.98
2022-10-07,224.75
2022-10-06,240.02
2022-10-05,236.73
2022-10-04,240.74
2022-10-03,239.04
2022-09-30,235.44
2022-09-29,239.71
2022-09-28,245.2
2022-09-27,224.36
2022-09-26,224.07
2022-09-23,226.41
2022-09-22,237.05
2022-09-21,236.87
2022-09-20,242.85
2022-09-19,243.63
2022-09-16,240.13
2022-09-15,235.38
2022-09-14,224.12
2022-09-13,221.37
2022-09-12,236.53
2022-09-09,233.57
2022-09-08,227.44
2022-09-07,228.96
2022-09-06,218.39
2022-09-02,226.11
2022-09-01,230.04
2022-08-31,223.53
2022-08-30,220.65
2022-08-29,224.57
2022-08-26,223.28
2022-08-25,233.98
2022-08-24,229.61
2022-08-23,224.55
2022-08-22,226.54
2022-08-19,241.16
2022-08-18,245.17
2022-08-17,241.15
2022-08-16,245.69
2022-08-15,249.11
2022-08-12,249.3
2022-08-11,242.7
2022-08-10,244.11
2022-08-09,229.94
2022-08-08,233.49
2022-08-05,226.78
2022-08-04,229.91
2022-08-03,226.73
2022-08-02,221.42
2022-08-01,226.21
2022-07-29,224.9
2022-07-28,226.02
2022-07-27,226.75
2022-07-26,213.91
2022-07-25,218.51
2022-07-22,220.44
2022-07-21,223.88
2022-07-20,216.44
2022-07-19,201.63
2022-07-18,190.92
2022-07-15,189.11
2022-07-14,174.78
2022-07-13,176.56
2022-07-12,174.45
2022-07-11,177.34
2022-07-08,186.975
2022-07-07,189.27
2022-07-06,184.06
2022-07-05,185.88
2022-07-01,179.95
2022-06-30,174.87
2022-06-29,178.36
2022-06-28,179.6
2022-06-27,189.14
2022-06-24,190.85
2022-06-23,181.71
2022-06-22,178.89
2022-06-21,170.91
2022-06-17,175.51
2022-06-16,173.35
2022-06-15,180.11
2022-06-14,167.54
2022-06-13,169.69
2022-06-10,182.94
2022-06-09,192.77
2022-06-08,202.83
2022-06-07,198.61
2022-06-06,197.14
2022-06-03,198.98
2022-06-02,205.09
2022-06-01,192.91
2022-05-31,197.44
2022-05-27,195.19
2022-05-26,191.4
2022-05-25,187.83
2022-05-24,180.34
2022-05-23,187.44
2022-05-20,186.35
2022-05-19,183.48
2022-05-18,177.19
2022-05-17,190.56
2022-05-16,186.51
2022-05-13,187.64
2022-05-12,174.31
2022-05-11,166.37
2022-05-10,177.66
2022-05-09,173.1
2022-05-06,180.97
2022-05-05,188.32
2022-05-04,204.01
2022-05-03,199.87
2022-05-02,199.46
2022-04-29,190.36
2022-04-28,199.52
2022-04-27,188.54
2022-04-26,198.4
2022-04-25,209.91
2022-04-22,215.52
2022-04-21,218.22
2022-04-20,226.19
2022-04-19,348.61
2022-04-18,337.86
2022-04-14,341.13
2022-04-13,350.43
2022-04-12,344.1
2022-04-11,348.0
2022-04-08,355.88
2022-04-07,362.15
2022-04-06,368.35
2022-04-05,380.15
2022-04-04,391.5
2022-04-01,373.47
2022-03-31,374.59
2022-03-30,381.47
2022-03-29,391.82
2022-03-28,378.51
2022-03-25,373.85
2022-03-24,375.71
2022-03-23,374.49
2022-03-22,382.92
2022-03-21,374.59
2022-03-18,380.6
2022-03-17,371.4
2022-03-16,357.53
2022-03-15,343.75
2022-03-14,331.01
2022-03-11,340.32
2022-03-10,356.77
2022-03-09,358.79
2022-03-08,341.76
2022-03-07,350.26
2022-03-04,361.73
2022-03-03,368.07
2022-03-02,380.03
2022-03-01,386.24
2022-02-28,394.52
2022-02-25,390.8
2022-02-24,390.03
2022-02-23,367.45999
2022-02-22,377.38
2022-02-18,391.29001
2022-02-17,386.67001
2022-02-16,398.07999
2022-02-15,407.45999
2022-02-14,396.57001
2022-02-11,391.31
2022-02-10,406.26999
2022-02-09,412.89001
2022-02-08,403.53
2022-02-07,402.10001
2022-02-04,410.17001
2022-02-03,405.60001
2022-02-02,420.32
2022-02-01,457.13
2022-01-31,427.14001
2022-01-28,384.35999
2022-01-27,386.70001
2022-01-26,359.70001
2022-01-25,366.42001
2022-01-24,387.14999
2022-01-21,397.5
2022-01-20,508.25
2022-01-19,515.85999
2022-01-18,510.79999
2022-01-14,525.69
2022-01-13,519.20001
2022-01-12,537.21997
2022-01-11,540.84003
2022-01-10,539.84998
2022-01-07,541.06
2022-01-06,553.28998
2022-01-05,567.52002
2022-01-04,591.15002
2022-01-03,597.37
2021-12-31,602.44
2021-12-30,612.09003
2021-12-29,610.53998
2021-12-28,610.71002
2021-12-27,613.12
2021-12-23,614.09003
2021-12-22,614.23999
2021-12-21,604.91998
2021-12-20,593.73999
2021-12-17,586.72998
2021-12-16,591.06
2021-12-15,605.03998
2021-12-14,597.98999
2021-12-13,604.56
2021-12-10,611.65997
2021-12-09,611.05
2021-12-08,628.08002
2021-12-07,625.58002
2021-12-06,612.69
2021-12-03,602.13
2021-12-02,616.46997
2021-12-01,617.77002
2021-11-30,641.90002
2021-11-29,665.88
2021-11-26,665.64001
2021-11-24,658.28998
2021-11-23,654.06
2021-11-22,659.20001
2021-11-19,678.79999
2021-11-18,682.02002
2021-11-17,691.69
2021-11-16,687.40002
2021-11-15,679.33002
2021-11-12,682.60999
2021-11-11,657.58002
2021-11-10,646.90997
2021-11-09,655.98999
2021-11-08,651.45001
2021-11-05,645.71997
2021-11-04,668.40002
2021-11-03,688.29
2021-11-02,677.71997
2021-11-01,681.16998
2021-10-29,690.31
2021-10-28,674.04999
2021-10-27,662.91998
2021-10-26,668.52002
2021-10-25,671.65997
2021-10-22,664.78003
2021-10-21,653.15997
2021-10-20,625.14001
2021-10-19,639.0
2021-10-18,637.96997
2021-10-15,628.28998
2021-10-14,633.79999
2021-10-13,629.76001
2021-10-12,624.94
2021-10-11,627.03998
2021-10-08,632.65997
2021-10-07,631.84998
2021-10-06,639.09998
2021-10-05,634.81
2021-10-04,603.34998
2021-10-01,613.15002
2021-09-30,611.2
2021-09-29,599.06
2021-09-28,583.84998
2021-09-27,592.64001
2021-09-24,592.39001
2021-09-23,593.26
2021-09-22,591.99
2021-09-21,571.6
2021-09-20,575.42999
2021-09-17,589.34998
2021-09-16,586.5
2021-09-15,582.87
2021-09-14,577.75
2021-09-13,589.28998
2021-09-10,598.71997
2021-09-09,597.53998
2021-09-08,606.04999
2021-09-07,606.71002
2021-09-03,590.53003
2021-09-02,588.54999
2021-09-01,582.07001
2021-08-31,569.19
2021-08-30,566.17999
2021-08-27,558.91998
2021-08-26,550.12
2021-08-25,547.58002
2021-08-24,553.40997
2021-08-23,553.33002
2021-08-20,546.88
2021-08-19,543.71002
2021-08-18,521.87
2021-08-17,518.90997
2021-08-16,517.91998
2021-08-13,515.91998
2021-08-12,510.72
2021-08-11,512.40002
2021-08-10,515.84003
2021-08-09,519.96997
2021-08-06,520.08
2021-08-05,524.89001
2021-08-04,517.34998
2021-08-03,510.82001
2021-08-02,515.15002
2021-07-30,517.57001
2021-07-29,514.25
2021-07-28,519.29999
2021-07-27,518.90997
2021-07-26,516.48999
2021-07-23,515.40997
2021-07-22,511.76999
2021-07-21,510.29999
2021-07-20,531.04999
2021-07-19,532.28003
2021-07-16,530.31
2021-07-15,542.95001
2021-07-14,547.95001
2021-07-13,540.67999
2021-07-12,537.31
2021-07-09,535.97998
2021-07-08,530.76001
2021-07-07,535.96002
2021-07-06,541.64001
2021-07-02,533.97998
2021-07-01,533.53998
2021-06-30,528.21002
2021-06-29,533.5
2021-06-28,533.03003
2021-06-25,527.07001
2021-06-24,518.06
2021-06-23,512.73999
2021-06-22,508.82001
2021-06-21,497.0
2021-06-18,500.76999
2021-06-17,498.34
2021-06-16,492.41
2021-06-15,491.89999
2021-06-14,499.89001
2021-06-11,488.76999
2021-06-10,487.26999
2021-06-09,485.81
2021-06-08,492.39001
2021-06-07,494.66
2021-06-04,494.73999
2021-06-03,489.42999
2021-06-02,499.23999
2021-06-01,499.07999
2021-05-28,502.81
2021-05-27,503.85999
2021-05-26,502.35999
2021-05-25,501.34
2021-05-24,502.89999
2021-05-21,497.89001
2021-05-20,501.67001
2021-05-19,487.70001
2021-05-18,486.28
2021-05-17,488.94
2021-05-14,493.37
2021-05-13,486.66
2021-05-12,484.98001
2021-05-11,495.07999
2021-05-10,486.69
2021-05-07,503.84
2021-05-06,499.54999
2021-05-05,496.07999
2021-05-04,503.17999
2021-05-03,509.10999
2021-04-30,513.46997
2021-04-29,509.0
2021-04-28,506.51999
2021-04-27,505.54999
2021-04-26,510.29999
2021-04-23,505.54999
2021-04-22,508.78
2021-04-21,508.89999
2021-04-20,549.57001
2021-04-19,554.44
2021-04-16,546.53998
2021-04-15,549.21997
2021-04-14,540.02002
2021-04-13,553.72998
2021-04-12,552.78003
2021-04-09,555.31
2021-04-08,554.58002
