date,last
2023-05-15,289.53
2023-05-12,283.4
2023-05-11,285.78
2023-05-10,288.85
2023-05-09,285.705
2023-05-08,291.51
2023-05-05,286.8
2023-05-04,275.62
2023-05-03,278.02
2023-05-02,282.1
2023-05-01,289.1
2023-04-28,277.49
2023-04-27,272.26
2023-04-26,269.56
2023-04-25,262.41
2023-04-24,270.42
2023-04-21,271.19
2023-04-20,271.04
2023-04-19,279.31
2023-04-18,276.67
2023-04-17,270.02
2023-04-14,267.58
2023-04-13,264.63
2023-04-12,264.95
2023-04-11,271.69
2023-04-10,275.79
2023-04-06,270.37
2023-04-05,268.81
2023-04-04,274.53
2023-04-03,279.65
2023-03-31,277.77
2023-03-30,273.83
2023-03-29,269.84
2023-03-28,264.1
2023-03-27,265.31
2023-03-24,267.79
2023-03-23,271.91
2023-03-22,264.68
2023-03-21,261.99
2023-03-20,259.0
2023-03-17,257.1713
2023-03-16,255.41
2023-03-15,242.3
2023-03-14,240.62
2023-03-13,229.66
2023-03-10,229.65
2023-03-09,234.36
2023-03-08,241.81
2023-03-07,232.88
2023-03-06,235.54
2023-03-03,238.9
2023-03-02,233.14
2023-03-01,226.98
2023-02-28,232.16
2023-02-27,235.01
2023-02-24,232.86
2023-02-23,236.64
2023-02-22,207.54
2023-02-21,206.55
2023-02-17,213.88
2023-02-16,220.02
2023-02-15,227.64
2023-02-14,229.71
2023-02-13,217.88
2023-02-10,212.65
2023-02-09,223.37
2023-02-08,222.05
2023-02-07,221.73
2023-02-06,210.89
2023-02-03,211.0
2023-02-02,217.09
2023-02-01,209.43
2023-01-31,195.39
2023-01-30,191.62
2023-01-27,203.65
2023-01-26,198.02
2023-01-25,193.23
2023-01-24,192.65
2023-01-23,191.93
2023-01-20,178.39
2023-01-19,167.65
2023-01-18,173.77
2023-01-17,177.02
2023-01-13,168.99
2023-01-12,165.11
2023-01-11,160.01
2023-01-10,159.09
2023-01-09,156.28
2023-01-06,148.59
2023-01-05,142.65
2023-01-04,147.49
2023-01-03,143.15
2022-12-30,146.14
2022-12-29,146.03
2022-12-28,140.36
2022-12-27,141.21
2022-12-23,152.06
2022-12-22,153.39
2022-12-21,165.01
2022-12-20,160.85
2022-12-19,162.54
2022-12-16,165.71
2022-12-15,169.52
2022-12-14,176.74
2022-12-13,180.72
2022-12-12,175.35
2022-12-09,170.01
2022-12-08,171.69
2022-12-07,161.2
2022-12-06,159.87
2022-12-05,166.1
2022-12-02,168.76
2022-12-01,171.35
2022-11-30,169.23
2022-11-29,156.39
2022-11-28,158.27
2022-11-25,162.7
2022-11-23,165.19
2022-11-22,160.38
2022-11-21,153.17
2022-11-18,154.09
2022-11-17,156.77
2022-11-16,159.1
2022-11-15,166.66
2022-11-14,162.95
2022-11-11,163.27
2022-11-10,157.5
2022-11-09,137.76
2022-11-08,146.02
2022-11-07,143.01
2022-11-04,141.56
2022-11-03,134.21
2022-11-02,132.19
2022-11-01,135.43
2022-10-31,134.97
2022-10-28,138.34
2022-10-27,131.76
2022-10-26,128.96
2022-10-25,132.61
2022-10-24,125.99
2022-10-21,124.66
2022-10-20,121.94
2022-10-19,120.51
2022-10-18,119.67
2022-10-17,118.88
2022-10-14,112.27
2022-10-13,119.6
2022-10-12,115.0
2022-10-11,115.86
2022-10-10,116.7
2022-10-07,120.76
2022-10-06,131.3
2022-10-05,132.09
2022-10-04,131.67
2022-10-03,125.12
2022-09-30,121.39
2022-09-29,122.2
2022-09-28,127.36
2022-09-27,124.13
2022-09-26,122.28
2022-09-23,125.16
2022-09-22,125.61
2022-09-21,132.61
2022-09-20,131.76
2022-09-19,133.82
2022-09-16,131.98
2022-09-15,129.29
2022-09-14,131.28
2022-09-13,133.34
2022-09-12,145.05
2022-09-09,143.87
2022-09-08,139.9
2022-09-07,137.14
2022-09-06,134.65
2022-09-02,136.47
2022-09-01,139.37
2022-08-31,150.94
2022-08-30,154.68
2022-08-29,158.01
2022-08-26,162.6
2022-08-25,179.131
2022-08-24,172.22
2022-08-23,171.81
2022-08-22,170.34
2022-08-19,178.49
2022-08-18,187.73
2022-08-17,183.35
2022-08-16,188.79
2022-08-15,190.32
2022-08-12,187.09
2022-08-11,179.42
2022-08-10,180.97
2022-08-09,170.86
2022-08-08,177.93
2022-08-05,189.89
2022-08-04,192.15
2022-08-03,188.93
2022-08-02,185.26
2022-08-01,184.41
2022-07-29,181.63
2022-07-28,179.84
2022-07-27,177.9
2022-07-26,165.33
2022-07-25,170.24
2022-07-22,173.19
2022-07-21,180.5
2022-07-20,178.07
2022-07-19,169.92
2022-07-18,161.01
2022-07-15,157.62
2022-07-14,153.72
2022-07-13,151.64
2022-07-12,150.82
2022-07-11,151.52
2022-07-08,158.38
2022-07-07,158.68
2022-07-06,151.3
2022-07-05,149.64
2022-07-01,145.23
2022-06-30,151.59
2022-06-29,155.42
2022-06-28,159.82
2022-06-27,168.69
2022-06-24,171.26
2022-06-23,162.25
2022-06-22,163.6
2022-06-21,165.66
2022-06-17,158.8
2022-06-16,156.01
2022-06-15,165.27
2022-06-14,158.36
2022-06-13,156.47
2022-06-10,169.74
2022-06-09,180.48
2022-06-08,186.48
2022-06-07,189.26
2022-06-06,187.86
2022-06-03,187.2
2022-06-02,195.92
2022-06-01,183.2
2022-05-31,186.72
2022-05-27,188.11
2022-05-26,178.51
2022-05-25,169.75
2022-05-24,161.54
2022-05-23,168.98
2022-05-20,166.94
2022-05-19,171.24
2022-05-18,169.38
2022-05-17,181.77
2022-05-16,172.64
2022-05-13,177.06
2022-05-12,161.75
2022-05-11,166.3
2022-05-10,175.95
2022-05-09,169.5
2022-05-06,186.75
2022-05-05,188.44
2022-05-04,203.34
2022-05-03,196.02
2022-05-02,195.33
2022-04-29,185.47
2022-04-28,197.82
2022-04-27,184.15
2022-04-26,187.88
2022-04-25,199.02
2022-04-22,195.15
2022-04-21,201.83
2022-04-20,214.82
2022-04-19,221.98
2022-04-18,217.83
2022-04-14,212.58
2022-04-13,222.03
2022-04-12,215.04
2022-04-11,219.17
2022-04-08,231.19
2022-04-07,242.08
2022-04-06,243.88
