date,last
2023-05-15,37.16
2023-05-12,37.35
2023-05-11,37.58
2023-05-10,38.3
2023-05-09,38.48
2023-05-08,38.67
2023-05-05,38.49
2023-05-04,38.23
2023-05-03,38.45
2023-05-02,39.06
2023-05-01,39.21
2023-04-28,38.89
2023-04-27,38.74
2023-04-26,38.63
2023-04-25,39.33
2023-04-24,39.91
2023-04-21,40.21
2023-04-20,39.85
2023-04-19,40.24
2023-04-18,40.55
2023-04-17,41.18
2023-04-14,41.19
2023-04-13,41.47
2023-04-12,41.37
2023-04-11,41.79
2023-04-10,41.73
2023-04-06,41.5
2023-04-05,41.55
2023-04-04,40.9
2023-04-03,41.35
2023-03-31,40.8
2023-03-30,40.38
2023-03-29,40.25
2023-03-28,39.99
2023-03-27,40.22
2023-03-24,40.39
2023-03-23,40.18
2023-03-22,40.01
2023-03-21,40.66
2023-03-20,40.81
2023-03-17,40.1
2023-03-16,40.37
2023-03-15,40.28
2023-03-14,39.9
2023-03-13,39.86
2023-03-10,39.39
2023-03-09,39.46
2023-03-08,40.12
2023-03-07,40.34
2023-03-06,41.11
2023-03-03,41.15
2023-03-02,40.62
2023-03-01,40.18
2023-02-28,40.57
2023-02-27,40.78
2023-02-24,41.75
2023-02-23,42.3
2023-02-22,42.38
2023-02-21,42.7
2023-02-17,43.21
2023-02-16,42.95
2023-02-15,43.32
2023-02-14,43.72
2023-02-13,43.99
2023-02-10,43.88
2023-02-09,43.34
2023-02-08,43.98
2023-02-07,43.59
2023-02-06,43.76
2023-02-03,44.06
2023-02-02,44.34
2023-02-01,43.97
2023-01-31,44.16
2023-01-30,43.55
2023-01-27,43.79
2023-01-26,44.25
2023-01-25,45.07
2023-01-24,44.71
2023-01-23,44.98
2023-01-20,45.11
2023-01-19,44.96
2023-01-18,45.0
2023-01-17,46.08
2023-01-13,47.85
2023-01-12,47.71
2023-01-11,47.45
2023-01-10,47.62
2023-01-09,48.39
2023-01-06,50.92
2023-01-05,49.66
2023-01-04,50.13
2023-01-03,51.26
2022-12-30,51.24
2022-12-29,51.33
2022-12-28,50.8
2022-12-27,51.13
2022-12-23,51.83
2022-12-22,51.64
2022-12-21,51.66
2022-12-20,51.32
2022-12-19,51.36
2022-12-16,51.4
2022-12-15,53.61
2022-12-14,54.48
2022-12-13,53.07
2022-12-12,52.16
2022-12-09,51.72
2022-12-08,51.78
2022-12-07,50.24
2022-12-06,49.71
2022-12-05,50.73
2022-12-02,50.91
2022-12-01,51.08
2022-11-30,50.13
2022-11-29,49.49
2022-11-28,49.57
2022-11-25,49.21
2022-11-23,48.85
2022-11-22,49.08
2022-11-21,48.18
2022-11-18,48.23
2022-11-17,48.33
2022-11-16,48.05
2022-11-15,48.57
2022-11-14,49.24
2022-11-11,47.6
2022-11-10,47.38
2022-11-09,46.72
2022-11-08,47.35
2022-11-07,47.09
2022-11-04,47.22
2022-11-03,46.57
2022-11-02,47.07
2022-11-01,48.01
2022-10-31,46.55
2022-10-28,47.43
