date,last
2023-05-15,166.35
2023-05-12,167.98
2023-05-11,172.08
2023-05-10,168.54
2023-05-09,169.15
2023-05-08,171.79
2023-05-05,170.06
2023-05-04,161.2
2023-05-03,160.61
2023-05-02,160.31
2023-05-01,161.83
2023-04-28,164.31
2023-04-27,160.19
2023-04-26,153.75
2023-04-25,160.67
2023-04-24,162.55
2023-04-21,165.08
2023-04-20,162.99
2023-04-19,180.59
2023-04-18,184.31
2023-04-17,187.04
2023-04-14,185.0
2023-04-13,185.9
2023-04-12,180.54
2023-04-11,186.79
2023-04-10,184.51
2023-04-06,185.06
2023-04-05,185.52
2023-04-04,192.58
2023-04-03,194.77
2023-03-31,207.5
2023-03-30,195.28
2023-03-29,193.88
2023-03-28,189.19
2023-03-27,191.81
2023-03-24,190.41
2023-03-23,192.22
2023-03-22,191.15
2023-03-21,197.58
2023-03-20,183.25
2023-03-17,180.1
2023-03-16,184.13
2023-03-15,180.55
2023-03-14,183.27
2023-03-13,174.48
2023-03-10,173.44
2023-03-09,172.92
2023-03-08,182.0
2023-03-07,187.71
2023-03-06,193.81
2023-03-03,197.79
2023-03-02,190.9
2023-03-01,202.77
2023-02-28,205.71
2023-02-27,207.63
2023-02-24,196.88
2023-02-23,202.07
2023-02-22,200.86
2023-02-21,197.37
2023-02-17,208.31
2023-02-16,202.04
2023-02-15,214.24
2023-02-14,209.25
2023-02-13,194.64
2023-02-10,196.89
2023-02-09,207.32
2023-02-08,201.29
2023-02-07,196.81
2023-02-06,194.76
2023-02-03,189.98
2023-02-02,188.27
2023-02-01,181.41
2023-01-31,173.22
2023-01-30,166.66
2023-01-27,177.9
2023-01-26,160.27
2023-01-25,144.43
2023-01-24,143.92
2023-01-23,143.75
2023-01-20,133.42
2023-01-19,127.17
2023-01-18,128.78
2023-01-17,131.49
2023-01-13,122.4
2023-01-12,123.56
2023-01-11,123.22
2023-01-10,118.85
2023-01-09,119.77
2023-01-06,113.06
2023-01-05,110.34
2023-01-04,113.64
2023-01-03,108.1
2022-12-30,123.18
2022-12-29,121.82
2022-12-28,112.71
2022-12-27,109.1
2022-12-23,123.15
2022-12-22,125.35
2022-12-21,137.57
2022-12-20,137.8
2022-12-19,149.87
2022-12-16,150.23
2022-12-15,157.67
2022-12-14,156.8
2022-12-13,160.95
2022-12-12,167.82
2022-12-09,179.05
2022-12-08,173.44
2022-12-07,174.04
2022-12-06,179.82
2022-12-05,182.45
2022-12-02,194.86
2022-12-01,194.7
2022-11-30,194.7
2022-11-29,180.83
2022-11-28,182.92
2022-11-25,182.86
2022-11-23,183.2
2022-11-22,169.91
2022-11-21,167.87
2022-11-18,180.19
2022-11-17,183.17
2022-11-16,186.92
2022-11-15,194.42
2022-11-14,190.95
2022-11-11,195.97
2022-11-10,190.72
2022-11-09,177.59
2022-11-08,191.3
2022-11-07,197.08
2022-11-04,207.47
2022-11-03,215.31
2022-11-02,214.98
2022-11-01,227.82
2022-10-31,227.54
2022-10-28,228.52
2022-10-27,225.09
2022-10-26,224.64
2022-10-25,222.415
2022-10-24,211.25
2022-10-21,214.44
2022-10-20,207.28
2022-10-19,222.04
2022-10-18,220.19
2022-10-17,219.35
2022-10-14,204.99
2022-10-13,221.72
2022-10-12,217.24
2022-10-11,216.5
2022-10-10,222.96
2022-10-07,223.07
2022-10-06,238.13
2022-10-05,240.81
2022-10-04,249.44
2022-10-03,242.4
2022-09-30,265.25
2022-09-29,268.21
2022-09-28,287.81
2022-09-27,282.94
2022-09-26,276.01
2022-09-23,275.33
2022-09-22,288.59
2022-09-21,300.8
2022-09-20,308.73
2022-09-19,309.07
2022-09-16,303.35
2022-09-15,303.75
2022-09-14,302.61
2022-09-13,293.865
2022-09-12,304.42
2022-09-09,299.68
2022-09-08,289.28
2022-09-07,283.7
2022-09-06,274.42
2022-09-02,270.21
2022-09-01,277.16
2022-08-31,275.45
2022-08-30,277.7
2022-08-29,284.82
2022-08-26,288.09
2022-08-25,296.07
2022-08-24,891.29
2022-08-23,889.36
2022-08-22,869.74
2022-08-19,890.0
2022-08-18,908.61
2022-08-17,911.99
2022-08-16,919.69
2022-08-15,927.96
2022-08-12,900.09
2022-08-11,860.44
2022-08-10,883.07
2022-08-09,850.0
2022-08-08,871.27
2022-08-05,864.51
2022-08-04,925.9
2022-08-03,922.19
2022-08-02,901.76
2022-08-01,891.83
2022-07-29,891.45
2022-07-28,842.7
2022-07-27,824.46
2022-07-26,776.58
2022-07-25,805.3
2022-07-22,816.73
2022-07-21,815.12
2022-07-20,742.5
2022-07-19,736.59
2022-07-18,721.64
2022-07-15,720.2
2022-07-14,714.94
2022-07-13,711.12
2022-07-12,699.21
2022-07-11,703.03
2022-07-08,752.29
2022-07-07,733.63
2022-07-06,695.2
2022-07-05,699.2
2022-07-01,681.79
2022-06-30,673.42
2022-06-29,685.47
2022-06-28,697.99
2022-06-27,734.76
2022-06-24,737.12
2022-06-23,705.21
2022-06-22,708.26
2022-06-21,711.11
2022-06-17,650.28
2022-06-16,639.3
2022-06-15,699.0
2022-06-14,662.67
2022-06-13,647.21
2022-06-10,696.69
2022-06-09,719.12
2022-06-08,725.6
2022-06-07,716.66
2022-06-06,714.84
2022-06-03,703.55
2022-06-02,775.0
2022-06-01,740.37
2022-05-31,758.26
2022-05-27,759.63
2022-05-26,707.73
2022-05-25,658.8
2022-05-24,628.16
2022-05-23,674.9
2022-05-20,663.9
2022-05-19,709.42
2022-05-18,709.81
2022-05-17,761.61
2022-05-16,724.37
2022-05-13,769.59
2022-05-12,728.0
2022-05-11,734.0
2022-05-10,800.04
2022-05-09,787.11
2022-05-06,865.65
2022-05-05,873.28
2022-05-04,952.62
2022-05-03,909.25
2022-05-02,902.94
2022-04-29,870.76
2022-04-28,877.51
2022-04-27,881.51
2022-04-26,876.42
2022-04-25,998.02
2022-04-22,1005.05
2022-04-21,1008.78
2022-04-20,977.2
2022-04-19,1028.15
2022-04-18,1004.85
2022-04-14,989.49
2022-04-13,998.51
2022-04-12,986.95
2022-04-11,975.93
2022-04-08,1025.49
2022-04-07,1057.26
2022-04-06,1045.76
2022-04-05,1091.26
2022-04-04,1145.45
2022-04-01,1071.2499
2022-03-31,1077.6
2022-03-30,1093.99
2022-03-29,1099.57
2022-03-28,1091.84
2022-03-25,1010.64
2022-03-24,1013.92
2022-03-23,999.11
2022-03-22,993.98
2022-03-21,921.16
2022-03-18,905.39
2022-03-17,871.6
2022-03-16,840.23
2022-03-15,801.89
2022-03-14,766.37
2022-03-11,795.35
2022-03-10,838.3
2022-03-09,858.97
2022-03-08,824.4
2022-03-07,804.58
2022-03-04,838.29
2022-03-03,839.29
2022-03-02,879.89
2022-03-01,864.37
2022-02-28,870.43
2022-02-25,809.87
2022-02-24,800.77002
2022-02-23,764.03998
2022-02-22,821.53003
2022-02-18,856.97998
2022-02-17,876.34998
2022-02-16,923.39001
2022-02-15,922.42999
2022-02-14,875.76001
2022-02-11,860.0
2022-02-10,904.54999
2022-02-09,932.0
2022-02-08,922.0
2022-02-07,907.34003
2022-02-04,923.32001
2022-02-03,891.14001
2022-02-02,905.65997
2022-02-01,931.25
2022-01-31,936.71997
2022-01-28,846.34998
2022-01-27,829.09998
2022-01-26,937.40997
2022-01-25,918.40002
2022-01-24,930.0
2022-01-21,943.90002
2022-01-20,996.27002
2022-01-19,995.65002
2022-01-18,1030.51001
2022-01-14,1049.60999
2022-01-13,1031.56006
2022-01-12,1106.21997
2022-01-11,1064.40002
2022-01-10,1058.12
2022-01-07,1026.95996
2022-01-06,1064.69995
2022-01-05,1088.12
2022-01-04,1149.58997
2022-01-03,1199.78003
2021-12-31,1056.78003
2021-12-30,1070.33997
2021-12-29,1085.90002
2021-12-28,1088.46997
2021-12-27,1093.93994
2021-12-23,1067.0
2021-12-22,1008.87
2021-12-21,938.53003
2021-12-20,899.94
2021-12-17,932.57001
2021-12-16,926.91998
2021-12-15,975.98999
2021-12-14,958.51001
2021-12-13,966.40997
2021-12-10,1017.03003
2021-12-09,1003.79999
2021-12-08,1068.95996
2021-12-07,1051.75
2021-12-06,1009.01001
2021-12-03,1014.96997
2021-12-02,1084.59998
2021-12-01,1095.0
2021-11-30,1144.76001
2021-11-29,1138.0
2021-11-26,1081.92004
2021-11-24,1116.0
2021-11-23,1109.03003
2021-11-22,1156.87
2021-11-19,1137.06006
2021-11-18,1096.38
2021-11-17,1089.01001
2021-11-16,1054.72998
2021-11-15,1013.39001
2021-11-12,1033.42004
2021-11-11,1063.51001
2021-11-10,1067.94995
2021-11-09,1023.5
2021-11-08,1162.93994
2021-11-05,1222.08997
2021-11-04,1229.91003
2021-11-03,1213.85999
2021-11-02,1172.0
2021-11-01,1208.58997
2021-10-29,1114.0
2021-10-28,1077.04004
2021-10-27,1037.85999
2021-10-26,1018.42999
2021-10-25,1024.85999
2021-10-22,909.67999
2021-10-21,894.0
2021-10-20,865.79999
2021-10-19,864.27002
2021-10-18,870.10999
2021-10-15,843.03003
2021-10-14,818.32001
2021-10-13,811.08002
2021-10-12,805.71997
2021-10-11,791.94
2021-10-08,785.48999
2021-10-07,793.60999
2021-10-06,782.75
2021-10-05,780.59003
2021-10-04,781.53003
2021-10-01,775.21997
2021-09-30,775.47998
2021-09-29,781.31
2021-09-28,777.56
2021-09-27,791.35999
2021-09-24,774.39001
2021-09-23,753.64001
2021-09-22,751.94
2021-09-21,739.38
2021-09-20,730.16998
2021-09-17,759.48999
2021-09-16,756.98999
2021-09-15,755.83002
2021-09-14,744.48999
2021-09-13,743.0
2021-09-10,736.27002
2021-09-09,753.85
2021-09-08,753.87
2021-09-07,752.91998
2021-09-03,733.57001
2021-09-02,732.39001
2021-09-01,734.09003
2021-08-31,735.71997
2021-08-30,730.90997
2021-08-27,711.91998
2021-08-26,701.15997
2021-08-25,711.20001
2021-08-24,708.48999
2021-08-23,706.29999
2021-08-20,680.26001
2021-08-19,673.46997
2021-08-18,688.98999
2021-08-17,665.71002
2021-08-16,686.16998
2021-08-13,717.16998
2021-08-12,722.25
2021-08-11,707.82001
2021-08-10,709.98999
2021-08-09,713.7
2021-08-06,699.09998
2021-08-05,714.63
2021-08-04,711.0
2021-08-03,709.73999
2021-08-02,709.66998
2021-07-30,687.20001
2021-07-29,677.34998
2021-07-28,646.97998
2021-07-27,644.78003
2021-07-26,657.62
2021-07-23,643.38
2021-07-22,649.26001
2021-07-21,655.28998
2021-07-20,660.5
2021-07-19,646.21997
2021-07-16,644.21997
2021-07-15,650.59998
2021-07-14,653.38
2021-07-13,668.53998
2021-07-12,685.70001
2021-07-09,656.95001
2021-07-08,652.81
2021-07-07,644.65002
2021-07-06,659.58002
2021-07-02,678.90002
2021-07-01,677.91998
2021-06-30,679.70001
2021-06-29,680.76001
2021-06-28,688.71997
2021-06-25,671.87
2021-06-24,679.82001
2021-06-23,656.57001
2021-06-22,623.71002
2021-06-21,620.83002
2021-06-18,623.31
2021-06-17,616.59998
2021-06-16,604.87
2021-06-15,599.35999
2021-06-14,617.69
2021-06-11,609.89001
2021-06-10,610.12
2021-06-09,598.78003
2021-06-08,603.59003
2021-06-07,605.13
2021-06-04,599.04999
2021-06-03,572.84003
2021-06-02,605.12
2021-06-01,623.90002
2021-05-28,625.21997
2021-05-27,630.84998
2021-05-26,619.13
2021-05-25,604.69
2021-05-24,606.44
2021-05-21,580.88
2021-05-20,586.78003
