date,last
2023-05-15,151.88
2023-05-12,153.07
2023-05-11,153.12
2023-05-10,152.55
2023-05-09,152.98
2023-05-08,152.72
2023-05-05,151.77
2023-05-04,150.47
2023-05-03,150.62
2023-05-02,151.18
2023-05-01,151.59
2023-04-28,150.97
2023-04-27,151.38
2023-04-26,150.91
2023-04-25,151.57
2023-04-24,152.76
2023-04-21,151.73
2023-04-20,150.97
2023-04-19,150.01
2023-04-18,149.85
2023-04-17,149.52
2023-04-14,148.48
2023-04-13,149.49
2023-04-12,149.34
2023-04-11,150.07
2023-04-10,150.51
2023-04-06,150.8
2023-04-05,149.67
2023-04-04,147.23
2023-04-03,148.69
2023-03-31,147.4
2023-03-30,145.67
2023-03-29,144.23
2023-03-28,143.61
2023-03-27,144.17
2023-03-24,141.8
2023-03-23,140.65
2023-03-22,139.52
2023-03-21,140.42
2023-03-20,140.9
2023-03-17,139.4
2023-03-16,138.28
2023-03-15,139.64
2023-03-14,138.1
2023-03-13,137.37
2023-03-10,136.97
2023-03-09,137.17
2023-03-08,138.1
2023-03-07,139.25
2023-03-06,140.65
2023-03-03,140.67
2023-03-02,140.5
2023-03-01,140.15
2023-02-28,142.13
2023-02-27,141.44
2023-02-24,142.47
2023-02-23,142.09
2023-02-22,144.24
2023-02-21,147.33
2023-02-17,146.44
2023-02-16,144.27
2023-02-15,146.57
2023-02-14,145.49
2023-02-13,145.91
2023-02-10,143.72
2023-02-09,141.52
2023-02-08,140.22
2023-02-07,140.98
2023-02-06,140.68
2023-02-03,141.71
2023-02-02,143.62
2023-02-01,144.67
2023-01-31,143.87
2023-01-30,142.15
2023-01-27,143.3
2023-01-26,142.21
2023-01-25,142.34
2023-01-24,143.02
2023-01-23,142.64
2023-01-20,140.54
2023-01-19,138.83
2023-01-18,140.84
2023-01-17,144.41
2023-01-13,145.29
2023-01-12,144.81
2023-01-11,146.13
2023-01-10,144.86
2023-01-09,144.95
2023-01-06,146.78
2023-01-05,143.27
2023-01-04,143.76
2023-01-03,143.6
2022-12-30,141.79
2022-12-29,142.15
2022-12-28,141.29
2022-12-27,143.81
2022-12-23,143.77
2022-12-22,143.48
2022-12-21,145.18
2022-12-20,144.05
2022-12-19,142.8
2022-12-16,142.75
2022-12-15,145.36
2022-12-14,146.67
2022-12-13,147.49
2022-12-12,148.02
2022-12-09,145.31
2022-12-08,148.78
2022-12-07,149.11
2022-12-06,149.89
2022-12-05,151.65
2022-12-02,153.22
2022-12-01,153.37
2022-11-30,152.42
2022-11-29,152.97
2022-11-28,153.51
2022-11-25,153.07
2022-11-23,152.42
2022-11-22,151.69
2022-11-21,151.15
2022-11-18,150.23
2022-11-17,148.0
2022-11-16,148.5
2022-11-15,147.44
2022-11-14,138.39
2022-11-11,142.58
2022-11-10,142.36
2022-11-09,139.47
2022-11-08,142.79
2022-11-07,142.45
2022-11-04,140.97
2022-11-03,140.72
2022-11-02,140.75
2022-11-01,141.69
2022-10-31,142.33
2022-10-28,142.51
2022-10-27,140.73
2022-10-26,141.14
2022-10-25,140.07
2022-10-24,139.41
2022-10-21,136.8
2022-10-20,134.09
2022-10-19,133.76
2022-10-18,134.14
2022-10-17,131.37
2022-10-14,130.43
2022-10-13,132.28
2022-10-12,131.17
2022-10-11,132.67
2022-10-10,129.32
2022-10-07,128.56
2022-10-06,131.68
2022-10-05,132.92
2022-10-04,134.25
2022-10-03,132.53
2022-09-30,129.7
2022-09-29,132.25
